Date,Corn
26/3/2018,1760
27/3/2018,1747
28/3/2018,1749
29/3/2018,1745
30/3/2018,1744
2/4/2018,1750
3/4/2018,1745
4/4/2018,1760
9/4/2018,1758
10/4/2018,1749
11/4/2018,1751
12/4/2018,1744
13/4/2018,1748
16/4/2018,1741
17/4/2018,1740
18/4/2018,1738
19/4/2018,1737
20/4/2018,1742
23/4/2018,1741
24/4/2018,1738
25/4/2018,1737
26/4/2018,1727
27/4/2018,1731
2/5/2018,1736
3/5/2018,1739
4/5/2018,1744
7/5/2018,1742
8/5/2018,1744
9/5/2018,1747
10/5/2018,1752
11/5/2018,1754
14/5/2018,1763
15/5/2018,1767
16/5/2018,1770
17/5/2018,1768
18/5/2018,1772
21/5/2018,1780
22/5/2018,1769
23/5/2018,1764
24/5/2018,1785
25/5/2018,1779
28/5/2018,1784
29/5/2018,1788
30/5/2018,1780
31/5/2018,1777
1/6/2018,1768
4/6/2018,1768
5/6/2018,1762
6/6/2018,1763
7/6/2018,1767
8/6/2018,1755
11/6/2018,1753
12/6/2018,1753
13/6/2018,1756
14/6/2018,1763
15/6/2018,1760
19/6/2018,1763
20/6/2018,1770
21/6/2018,1767
22/6/2018,1767
25/6/2018,1776
26/6/2018,1780
27/6/2018,1786
28/6/2018,1781
29/6/2018,1787
2/7/2018,1785
3/7/2018,1786
4/7/2018,1785
5/7/2018,1778
6/7/2018,1779
9/7/2018,1782
10/7/2018,1776
11/7/2018,1845
12/7/2018,1844
13/7/2018,1848
16/7/2018,1863
17/7/2018,1862
18/7/2018,1862
19/7/2018,1861
20/7/2018,1858
23/7/2018,1835
24/7/2018,1840
25/7/2018,1835
26/7/2018,1837
30/7/2018,1844
31/7/2018,1854
1/8/2018,1855
2/8/2018,1851
3/8/2018,1845
6/8/2018,1872
7/8/2018,1869
8/8/2018,1888
9/8/2018,1874
10/8/2018,1874
13/8/2018,1893
14/8/2018,1892
15/8/2018,1892
16/8/2018,1883
17/8/2018,1865
20/8/2018,1873
21/8/2018,1869
22/8/2018,1884
23/8/2018,1878
24/8/2018,1876
27/8/2018,1882
28/8/2018,1887
29/8/2018,1877
30/8/2018,1884
31/8/2018,1904
3/9/2018,1924
4/9/2018,1915
5/9/2018,1916
6/9/2018,1914
7/9/2018,1914
10/9/2018,1924
11/9/2018,1918
12/9/2018,1904
13/9/2018,1882
14/9/2018,1880
17/9/2018,1884
18/9/2018,1885
19/9/2018,1888
20/9/2018,1893
21/9/2018,1882
25/9/2018,1861
26/9/2018,1858
27/9/2018,1853
28/9/2018,1847
8/10/2018,1864
9/10/2018,1864
10/10/2018,1846
11/10/2018,1867
12/10/2018,1863
15/10/2018,1854
16/10/2018,1855
17/10/2018,1858
18/10/2018,1868
19/10/2018,1876
22/10/2018,1888
23/10/2018,1883
24/10/2018,1886
25/10/2018,1891
26/10/2018,1891
29/10/2018,1897
30/10/2018,1910
31/10/2018,1891
1/11/2018,1890
2/11/2018,1880
5/11/2018,1888
6/11/2018,1889
7/11/2018,1893
8/11/2018,1895
9/11/2018,1916
12/11/2018,1921
13/11/2018,1911
14/11/2018,1897
15/11/2018,1880
16/11/2018,1887
19/11/2018,1898
20/11/2018,1964
21/11/2018,1966
22/11/2018,1949
23/11/2018,1952
26/11/2018,1955
27/11/2018,1965
28/11/2018,1972
29/11/2018,1958
30/11/2018,1953
3/12/2018,1912
4/12/2018,1879
5/12/2018,1884
6/12/2018,1888
7/12/2018,1861
10/12/2018,1865
11/12/2018,1871
12/12/2018,1870
13/12/2018,1874
14/12/2018,1872
17/12/2018,1861
18/12/2018,1850
19/12/2018,1871
20/12/2018,1870
21/12/2018,1863
24/12/2018,1831
25/12/2018,1847
26/12/2018,1855
27/12/2018,1851
28/12/2018,1869
2/1/2019,1861
3/1/2019,1870
4/1/2019,1863
7/1/2019,1853
8/1/2019,1838
9/1/2019,1843
10/1/2019,1835
11/1/2019,1826
14/1/2019,1811
15/1/2019,1810
16/1/2019,1826
17/1/2019,1820
18/1/2019,1824
21/1/2019,1833
22/1/2019,1842
23/1/2019,1839
24/1/2019,1836
25/1/2019,1863
28/1/2019,1854
29/1/2019,1857
30/1/2019,1865
31/1/2019,1863
1/2/2019,1873
11/2/2019,1865
12/2/2019,1861
13/2/2019,1849
14/2/2019,1832
15/2/2019,1836
18/2/2019,1816
