Date,Corn,TR,IR,ER,ine,FP.CFI,CFD,GPR,EPU,corn
26/3/2018,1760,2.908,2.543,6.3193,428.61,115.5879,374,103.49,89.77,1760
27/3/2018,1747,2.908,2.5935,6.2816,422.77,115.6918,374,119.24,22.48,1747
28/3/2018,1749,2.908,2.592,6.2785,409.22,115.3216,373.2,101.48,26.48,1749
29/3/2018,1745,2.908,2.581,6.3046,408.67,114.3629,387,213.3,16.75,1745
30/3/2018,1744,2.9223,2.69,6.2881,419.09,115.8904,387,62.7,44.07,1744
2/4/2018,1750,2.9223,2.622,6.2764,415.4,117.1549,387,149.57,167.71,1750
3/4/2018,1745,2.9223,2.574,6.2833,401.62,116.9632,388,37.31,88.73,1745
4/4/2018,1760,2.9223,2.469,6.2926,400.75,117.6011,381.4,151.7,52.9,1760
9/4/2018,1758,2.9223,2.528,6.3114,401.58,120.3876,398.2,83.72,275.14,1758
10/4/2018,1749,2.9223,2.551,6.3071,412.61,119.2871,398,58.76,56.17,1749
11/4/2018,1751,2.9223,2.561,6.2911,417.09,118.5292,394.6,93.37,79.88,1751
12/4/2018,1744,2.9223,2.557,6.2834,428.15,118.0022,396,120.34,190.11,1744
13/4/2018,1748,2.6067,2.557,6.2898,426.43,117.7523,393.6,100.36,141.34,1748
16/4/2018,1741,2.6067,2.582,6.2884,423.93,117.3638,391,70.18,65.26,1741
17/4/2018,1740,2.6067,2.665,6.2771,426.73,116.7768,389.2,115.9,65.55,1740
18/4/2018,1738,2.6067,2.679,6.2817,429.17,117.0627,391,188.22,71.44,1738
19/4/2018,1737,2.6067,2.733,6.2832,440.11,117.039,390,136.36,46.61,1737
20/4/2018,1742,2.6242,2.747,6.2897,436.28,117.5159,385.2,302.92,47.54,1742
23/4/2018,1741,2.6242,2.724,6.3034,439.21,117.3841,387.2,136.91,66.91,1741
24/4/2018,1738,2.6242,2.736,6.3229,446.91,116.8141,389.6,114.36,35.09,1738
25/4/2018,1737,2.6242,2.728,6.3066,437.65,116.9803,395,86.08,108.69,1737
26/4/2018,1727,2.6242,2.765,6.3283,441.05,116.5812,395,226.18,68.42,1727
27/4/2018,1731,2.6937,2.921,6.3393,443.81,116.0989,398.2,261.32,25.82,1731
2/5/2018,1736,2.6937,2.72,6.367,443.05,116.8711,405,367.27,95.92,1736
3/5/2018,1739,2.6937,2.681,6.3732,446.67,117.0369,408,225.3,57.16,1739
4/5/2018,1744,2.6287,2.594,6.3521,446.54,116.6645,405.4,91.93,38.51,1744
7/5/2018,1742,2.6287,2.582,6.3584,458.01,116.8864,400.6,74.92,96.74,1742
8/5/2018,1744,2.6287,2.575,6.3674,458.7,115.8917,403.6,48.75,100.02,1744
