,y_predict
0,0.84882134
1,0.8617591
2,0.8520492
3,0.8435615
4,0.85177076
5,0.8517514
6,0.87338847
7,0.87793
8,0.8776902
9,0.8870998
10,0.8813014
11,0.8806631
12,0.86773604
13,0.85479945
14,0.8444667
15,0.8424081
16,0.83464175
17,0.8673209
18,0.91135067
19,0.8924671
20,0.897622
21,0.89672905
22,0.8973674
23,0.9235812
24,0.93534
25,0.9376017
26,0.9579172
27,0.9633016
28,0.96088403
29,0.9452506
30,0.9366202
31,0.9559428
32,0.947934
33,0.97607815
34,0.9854526
35,0.9663349
36,0.95380086
37,0.9441297
38,0.9268887
39,0.93168265
40,0.93798935
41,0.941983
42,0.95416194
43,0.9556602
44,0.95357555
45,0.95136815
46,0.9581337
47,0.94529164
48,0.9234897
49,0.91565484
50,0.90899557
51,0.91293013
52,0.8915168
53,0.9058214
54,0.8640985
55,0.86418015
56,0.8742598
57,0.8701004
58,0.8795924
59,0.8388663
60,0.8538602
61,0.86239254
62,0.8639363
63,0.8578978
64,0.8724513
65,0.8779147
66,0.8672815
67,0.8710832
68,0.8388303
69,0.81597346
70,0.798239
71,0.7962592
72,0.8091698
73,0.80205035
74,0.77768886
75,0.73469305
76,0.73970026
77,0.7188718
78,0.7142417
79,0.7318847
80,0.7432913
81,0.75750166
82,0.7274407
83,0.7259849
84,0.7255454
85,0.7133582
86,0.7127336
87,0.6637332
88,0.6674767
89,0.66262805
90,0.62771773
91,0.65337735
92,0.6696565
93,0.6856114
94,0.70384663
95,0.70348036
96,0.7010996
97,0.7083753
98,0.7095222
99,0.6949092
100,0.71544826
101,0.7137726
102,0.72933954
103,0.7367762
104,0.72888833
105,0.7618813
106,0.73762363
107,0.7597261
108,0.7367405
109,0.71627116
110,0.71703446
111,0.7179102
112,0.7454447
113,0.75350624
114,0.73604226
115,0.7632368
116,0.7927049
117,0.78202146
118,0.7887246
119,0.78668946
120,0.78288156
121,0.7952402
122,0.80903286
123,0.7858247
124,0.79320955
125,0.8002771
126,0.81618565
127,0.815273
128,0.80925167
129,0.8145663
130,0.8204461
131,0.81480014
132,0.8166682
133,0.82052773
134,0.8066737
135,0.77387077
136,0.7734358
137,0.7574757
138,0.7602498
139,0.7713254
140,0.7904744
141,0.80285484
142,0.81095016
143,0.8138285
144,0.83014387
145,0.8209445
146,0.82044935
147,0.8181251
148,0.8211254
149,0.84046215
150,0.8420073
151,0.82385904
152,0.8322725
153,0.83247685
154,0.8246504
155,0.837639
156,0.83203816
157,0.8136555
158,0.80715084
159,0.8297278
160,0.8430365
161,0.8395137
162,0.8225506
163,0.8269779
164,0.8385642
165,0.82533365
166,0.82348084
167,0.8110425
168,0.79969126
169,0.807939
170,0.83076155
171,0.82972246
172,0.85208285
173,0.8612882
174,0.8898767
175,0.8865164
176,0.8713525
177,0.87210625
178,0.8612378
179,0.8625278
180,0.8296206
181,0.8262364
182,0.8109264
183,0.8266442
184,0.81647044
185,0.8162155
186,0.81643766
187,0.7990938
188,0.7999125
189,0.81464803
190,0.7896949
191,0.77753276
192,0.76916265
193,0.77448946
194,0.774063
195,0.7896604
196,0.7916813
197,0.8174123
198,0.8144343
199,0.8251266
200,0.8279288
201,0.85323125
202,0.86076295
203,0.8688552
204,0.87646973
205,0.87423944
206,0.8692372
207,0.8685556
208,0.8581669
209,0.8661146
210,0.8634641
211,0.8737902
212,0.8499885
213,0.84132534
214,0.8709983
215,0.83391696
216,0.82831603
217,0.82613736
218,0.8294366
219,0.7974044
220,0.8020428
221,0.7944303
222,0.77705795
223,0.7807223
224,0.7904009
225,0.8378945
226,0.8310811
227,0.8395662
228,0.8433994
229,0.8516185
230,0.8469743
231,0.8543354
232,0.8466013
233,0.84800905
234,0.82862884
