,y_predict
0,0.98427784
1,0.9906589
2,0.9795778
3,0.97145355
4,0.9786588
5,0.9791243
6,0.99894595
7,1.0056748
8,1.0045677
9,1.0214547
10,1.0136344
11,1.013122
12,0.9983249
13,0.97953236
14,0.96782875
15,0.9678874
16,0.95856094
17,0.9904202
18,1.0498297
19,1.0331192
20,1.0348524
21,1.0269917
22,1.0335424
23,1.059817
24,1.0670453
25,1.0748576
26,1.0986466
27,1.0993198
28,1.1035068
29,1.0857854
30,1.0757766
31,1.0890869
32,1.081341
33,1.115138
34,1.1244318
35,1.10669
36,1.0905869
37,1.0746953
38,1.0677936
39,1.0655221
40,1.0686961
41,1.0724345
42,1.089403
43,1.0901905
44,1.0915222
45,1.0872456
46,1.0932493
47,1.0799081
48,1.0554082
49,1.042231
50,1.0376805
51,1.0399176
52,1.0221677
53,1.0338676
54,0.99228406
55,0.98585975
56,1.0026594
57,1.0023408
58,1.0072086
59,0.9652072
60,0.9782312
61,0.99135625
62,0.9901836
63,0.98929405
64,1.0024607
65,1.0033125
66,1.000386
67,0.9986477
68,0.9650773
69,0.93746424
70,0.915385
71,0.9122578
72,0.92455184
73,0.9214753
74,0.8975749
75,0.8489771
76,0.84904003
77,0.82681835
78,0.8220446
79,0.84349597
80,0.85427904
81,0.870121
82,0.8356296
83,0.83181345
84,0.8409821
85,0.8239931
86,0.81679857
87,0.7701365
88,0.7666273
89,0.7616694
90,0.72586334
91,0.74839234
92,0.76662636
93,0.78874016
94,0.8066163
95,0.8104862
96,0.80469286
97,0.81078887
98,0.81468344
99,0.8015245
100,0.8207675
101,0.8213531
102,0.8348558
103,0.84155214
104,0.83745337
105,0.8697015
106,0.8525586
107,0.8674629
108,0.84994996
109,0.82721615
110,0.82029545
111,0.8231976
112,0.8537148
113,0.8740206
114,0.8513751
115,0.8777809
116,0.9094068
117,0.8979924
118,0.90282047
119,0.9001485
120,0.8937248
121,0.90742457
122,0.920866
123,0.90334773
124,0.90709865
125,0.91725695
126,0.9385493
127,0.93799317
128,0.93073773
129,0.9349278
130,0.9374294
131,0.9292655
132,0.9350977
133,0.9423624
134,0.9250096
135,0.8886142
136,0.8853915
137,0.8635942
138,0.8648622
139,0.88454473
140,0.89680517
141,0.91459453
142,0.9275836
143,0.93007433
144,0.94745207
145,0.93768024
146,0.93297124
147,0.93617654
148,0.93977463
149,0.9580027
150,0.96011865
151,0.9363638
152,0.94613063
153,0.9513562
154,0.94328773
155,0.96358895
156,0.9585525
157,0.9358218
158,0.9239619
159,0.9417772
160,0.96404696
161,0.96088064
162,0.9530926
163,0.95140016
164,0.96346104
165,0.95220923
166,0.9385698
167,0.9261215
168,0.9139713
169,0.91975915
170,0.9419316
171,0.94269633
172,0.9712062
173,0.98323655
174,1.0094727
175,1.0121144
176,0.98828113
177,0.9923295
178,0.98391104
179,0.9761566
180,0.9475428
181,0.94027627
182,0.9293053
183,0.94176114
184,0.93565667
185,0.9359528
186,0.93145573
187,0.9145968
188,0.9143239
189,0.9296243
190,0.9108337
191,0.8929372
192,0.88566566
193,0.8863983
194,0.8842596
195,0.90528417
196,0.9148469
197,0.94384134
198,0.94043005
199,0.9531605
200,0.95242465
201,0.97823954
202,0.9864254
203,0.9920784
204,1.0027288
205,1.0043837
206,0.9910823
207,0.9883418
208,0.98049796
209,0.98818314
210,0.98341465
211,1.0002593
212,0.9740561
213,0.9682994
214,0.9965241
215,0.95812654
216,0.9464594
217,0.94778645
218,0.9508059
219,0.9246583
220,0.9195434
221,0.91085684
222,0.89490366
223,0.8987107
224,0.91222715
225,0.96063805
226,0.95746875
227,0.96093524
228,0.9650657
229,0.9728731
230,0.97102904
231,0.9781022
232,0.9682733
233,0.96428406
234,0.9490113
