,y_predict
0,2878.5999
1,2883.8657
2,2881.7705
3,2885.3901
4,2884.2805
5,2889.9392
6,2891.9858
7,2894.3462
8,2897.647
9,2900.059
10,2903.0603
11,2900.6792
12,2896.7078
13,2892.681
14,2887.316
15,2879.7395
16,2875.5798
17,2876.552
18,2894.7166
19,2916.3704
20,2928.2021
21,2941.0464
22,2946.2598
23,2947.1794
24,2952.4675
25,2960.5825
26,2971.7092
27,2987.343
28,2997.6
29,2999.3462
30,3001.739
31,3001.3525
32,3000.806
33,3005.3645
34,3009.7146
35,3013.6777
36,3009.2458
37,3003.0107
38,2993.975
39,2984.289
40,2976.7476
41,2974.265
42,2977.4888
43,2982.6423
44,2985.7354
45,2986.9429
46,2987.4548
47,2987.349
48,2982.7124
49,2973.5361
50,2961.7903
51,2950.7317
52,2939.2705
53,2929.5254
54,2917.1145
55,2908.956
56,2905.7769
57,2904.4617
58,2900.992
59,2889.2454
60,2880.2898
61,2876.8384
62,2877.516
63,2879.4019
64,2883.302
65,2888.365
66,2890.0432
67,2891.1233
68,2887.4912
69,2871.01
70,2848.6042
71,2824.44
72,2804.3196
73,2794.5105
74,2780.7898
75,2764.9697
76,2747.8845
77,2724.0415
78,2708.1543
79,2707.5571
80,2713.9785
81,2722.547
82,2719.1057
83,2718.1917
84,2721.367
85,2715.7668
86,2706.2202
87,2685.6226
88,2665.5852
89,2648.452
90,2629.4485
91,2622.6282
92,2629.3738
93,2640.1904
94,2654.8357
95,2669.6887
96,2677.123
97,2684.0386
98,2689.817
99,2694.0464
100,2697.052
101,2699.8452
102,2702.6218
103,2710.025
104,2721.2153
105,2733.5222
106,2741.0164
107,2743.4536
108,2744.0312
109,2738.2546
110,2723.7366
111,2714.9949
112,2716.9268
113,2727.4834
114,2732.2986
115,2739.984
116,2754.7776
117,2764.44
118,2771.4106
119,2778.54
120,2784.3308
121,2788.3035
122,2794.8306
123,2797.5144
124,2797.7715
125,2805.2712
126,2814.0327
127,2818.117
128,2821.624
129,2819.2803
130,2821.506
131,2821.7314
132,2825.7163
133,2829.2346
134,2826.4758
135,2815.6667
136,2804.777
137,2791.95
138,2781.4705
139,2771.26
140,2771.7253
141,2778.0486
142,2789.9197
143,2802.4727
144,2814.297
145,2820.5864
146,2823.9602
147,2827.949
148,2830.9663
149,2831.5078
150,2832.3433
151,2828.5728
152,2827.996
153,2830.964
154,2830.2532
155,2835.7068
156,2835.6052
157,2828.3706
158,2819.2043
159,2814.8909
160,2816.9678
161,2820.9968
162,2828.5752
163,2832.0217
164,2834.734
165,2833.7456
166,2829.1357
167,2826.5325
168,2821.8608
169,2819.725
170,2823.82
171,2829.0483
172,2838.4197
173,2851.7131
174,2870.0366
175,2885.369
176,2892.9414
177,2893.7595
178,2889.5015
179,2881.4617
180,2870.441
181,2863.9297
182,2858.1252
183,2855.52
184,2853.7485
185,2855.577
186,2853.7385
187,2846.6833
188,2838.8726
189,2836.016
190,2834.901
191,2827.4358
192,2820.378
193,2812.4841
194,2803.8984
195,2805.4202
196,2814.293
197,2829.4036
198,2839.721
199,2843.2502
200,2845.8865
201,2856.8303
202,2872.5962
203,2888.9363
204,2901.0989
205,2903.8318
206,2900.3271
207,2899.1772
208,2897.0872
209,2896.1045
210,2895.4934
211,2894.8984
212,2895.5151
213,2892.4016
214,2894.2085
215,2890.1309
216,2879.9963
217,2877.0667
218,2879.625
219,2871.8672
220,2858.8274
221,2843.8132
222,2830.9172
223,2825.1685
224,2833.8188
225,2839.3481
226,2844.4504
227,2849.4443
228,2857.8645
229,2869.1064
230,2876.8901
231,2884.5308
232,2887.546
233,2886.0007
234,2877.5857
