,y_predict
0,0.7647279
1,0.76617354
2,0.83495486
3,0.828844
4,0.8750902
5,0.8483855
6,0.87321323
7,0.7678328
8,0.80520594
9,0.8323346
10,0.75127274
11,0.740413
12,0.7458691
13,0.72058284
14,0.7247134
15,0.693153
16,0.76041204
17,0.78304255
18,0.7979878
19,0.81731504
20,0.82829636
21,0.7753461
22,0.7907025
23,0.8106751
24,0.7709171
25,0.7252613
26,0.76513
27,0.76626706
28,0.7708399
29,0.77085704
30,0.83067733
31,0.84849983
32,0.7771779
33,0.7310094
34,0.80020195
35,0.7987316
36,0.8350602
37,0.8535991
38,0.8499202
39,0.7979199
40,0.8175414
41,0.8272204
42,0.82986385
43,0.8168512
44,0.820438
45,0.85757965
46,0.8748391
47,0.89119595
48,0.8826679
49,0.86910254
50,0.8842686
51,0.9092142
52,0.9128861
53,0.93880934
54,0.9336405
55,0.9254136
56,0.9251911
57,0.9236587
58,0.89497626
59,0.9007742
60,0.83682483
61,0.82623166
62,0.8416762
63,0.77496177
64,0.7705583
65,0.7889878
66,0.8201702
67,0.85736793
68,0.83717364
69,0.8143176
70,0.82367796
71,0.8548512
72,0.766565
73,0.72892946
74,0.7498502
75,0.7833911
76,0.7654186
77,0.6991907
78,0.7110816
79,0.7013934
80,0.70503813
81,0.769708
82,0.76496273
83,0.7564617
84,0.7321934
85,0.70470005
86,0.71026164
87,0.7305561
88,0.7421326
89,0.75642747
90,0.76501805
91,0.7278927
92,0.7341363
93,0.71194595
94,0.6703116
95,0.6790404
96,0.70182496
97,0.7008768
98,0.70976764
99,0.7350203
100,0.72274333
101,0.6807534
102,0.6865981
103,0.69462913
104,0.7355945
105,0.7341124
106,0.7464164
107,0.79030126
108,0.8117786
109,0.7874891
110,0.79210037
111,0.8243772
112,0.78208715
113,0.74503124
114,0.71243364
115,0.726929
116,0.7444794
117,0.71922666
118,0.6622694
119,0.66618055
120,0.69207644
121,0.6999413
122,0.69765204
123,0.67899865
124,0.69040257
125,0.66961986
126,0.66279453
127,0.66023767
128,0.66476905
129,0.635739
130,0.5965517
131,0.6154119
132,0.64500844
133,0.6437202
134,0.6209734
135,0.7814889
136,0.7351372
137,0.71445805
138,0.7365354
139,0.7045235
140,0.70544726
141,0.69244486
142,0.7027449
143,0.7067701
144,0.70100313
145,0.7016136
146,0.70915085
147,0.7217823
148,0.72790533
149,0.73042595
150,0.7155561
151,0.7510763
152,0.7583831
153,0.7502338
154,0.79337305
155,0.7748798
156,0.7549221
157,0.72351104
158,0.72477585
159,0.7447259
160,0.6895893
161,0.6975583
162,0.67938834
163,0.65067965
164,0.6335421
165,0.62466294
166,0.6209776
167,0.5868153
168,0.5819998
169,0.57385314
170,0.55608726
171,0.58942294
172,0.59118754
173,0.5884241
174,0.5678635
175,0.5327935
176,0.50102746
177,0.4740731
178,0.4695674
179,0.46466035
180,0.47557136
181,0.50704545
182,0.52088135
183,0.5076992
184,0.49343154
185,0.5090855
186,0.5103052
187,0.5384595
188,0.53384894
189,0.54701746
190,0.5547118
191,0.5644806
192,0.5495303
193,0.5474818
194,0.5741283
195,0.5460754
196,0.49411726
197,0.4942144
198,0.49682942
199,0.50145257
200,0.49293756
201,0.5274238
202,0.54188603
203,0.5517054
204,0.52842313
205,0.5556918
206,0.5469027
207,0.56057745
208,0.57284707
209,0.53026
210,0.5367563
211,0.5235643
212,0.506751
213,0.48936966
214,0.49930573
215,0.5341036
216,0.54418105
217,0.5387134
218,0.55814487
219,0.5498288
220,0.5501037
221,0.548757
222,0.5628831
223,0.5471761
224,0.54724157
225,0.5282031
226,0.5098349
227,0.5223896
228,0.5359306
229,0.52465075
