,y_predict
0,0.9186131
1,0.9491994
2,0.9345098
3,0.9334712
4,0.93930674
5,0.9534373
6,0.96287686
7,0.95072347
8,0.95129585
9,0.9651998
10,0.9643528
11,0.95035934
12,0.9186633
13,0.92117834
14,0.92472756
15,0.9250304
16,0.92688507
17,0.9549596
18,1.0299051
19,0.9874289
20,0.97961825
21,0.9793615
22,0.98638356
23,1.008283
24,1.0170387
25,1.0121363
26,1.023483
27,1.0440809
28,1.0543275
29,1.0214137
30,1.017713
31,1.034638
32,1.0294772
33,1.063834
34,1.0628803
35,1.0505805
36,0.99631053
37,0.99672025
38,0.99397403
39,0.99490637
40,0.99623865
41,0.9989562
42,1.0084293
43,1.0074208
44,1.007928
45,1.0064471
46,1.0102509
47,0.9901004
48,0.9728814
49,0.96587807
50,0.96220607
51,0.9622908
52,0.93825
53,0.95788854
54,0.8999446
55,0.9075318
56,0.9277019
57,0.9158302
58,0.9147169
59,0.8671904
60,0.90103084
61,0.9089582
62,0.9129091
63,0.89791125
64,0.90214556
65,0.92539394
66,0.92058265
67,0.92699814
68,0.88697624
69,0.85563385
70,0.8406291
71,0.84077257
72,0.85397184
73,0.84673536
74,0.8043669
75,0.7609766
76,0.766545
77,0.7473092
78,0.75558686
79,0.7910037
80,0.7966982
81,0.7960166
82,0.74770933
83,0.7769021
84,0.77674943
85,0.7500735
86,0.74783516
87,0.6747372
88,0.6950848
89,0.69852334
90,0.65996915
91,0.69329476
92,0.71150583
93,0.73135513
94,0.73610705
95,0.73443013
96,0.72857404
97,0.7514439
98,0.753988
99,0.7316333
100,0.7555879
101,0.75425726
102,0.7660682
103,0.77610356
104,0.7709554
105,0.8096998
106,0.77102166
107,0.8059659
108,0.7780403
109,0.74759823
110,0.73589724
111,0.7463824
112,0.7923844
113,0.7906612
114,0.7548651
115,0.79500824
116,0.8312005
117,0.81197727
118,0.81417346
119,0.8243317
120,0.8298888
121,0.8305451
122,0.8462284
123,0.82352424
124,0.83574396
125,0.85738367
126,0.8696572
127,0.85778916
128,0.8475039
129,0.8426551
130,0.86411166
131,0.8604596
132,0.8654164
133,0.85841787
134,0.8436585
135,0.8019155
136,0.8027812
137,0.78390694
138,0.79367775
139,0.7954076
140,0.8235891
141,0.8050344
142,0.8405683
143,0.8285261
144,0.86145616
145,0.8422221
146,0.8525186
147,0.8513497
148,0.8573355
149,0.8709444
150,0.8681853
151,0.84001696
152,0.8576286
153,0.8648974
154,0.8489364
155,0.86157596
156,0.8517557
157,0.8273939
158,0.81372505
159,0.834332
160,0.86229855
161,0.85624814
162,0.84622914
163,0.8470137
164,0.8723527
165,0.8342995
166,0.8259566
167,0.8313059
168,0.8329843
169,0.84464043
170,0.87075686
171,0.8637638
172,0.8824761
173,0.8954656
174,0.93471545
175,0.9341142
176,0.9050874
177,0.9063244
178,0.8967586
179,0.8986059
180,0.8572147
181,0.86113936
182,0.8545352
183,0.8861564
184,0.8815993
185,0.87029696
186,0.8599098
187,0.8383437
188,0.85374373
189,0.87216944
190,0.849539
191,0.81976724
192,0.8079017
193,0.8143661
194,0.8185391
195,0.8383803
196,0.84589404
197,0.8748707
198,0.8650583
199,0.8695717
200,0.88850486
201,0.9092005
202,0.9305098
203,0.9165151
204,0.9256769
205,0.9220593
206,0.9211895
207,0.92919976
208,0.9240725
209,0.9390501
210,0.9468108
211,0.9524926
212,0.91904205
213,0.90815115
214,0.93766487
215,0.8899309
216,0.8940509
217,0.890458
218,0.9123383
219,0.8585958
220,0.8576131
221,0.8568784
222,0.84924364
223,0.8445032
224,0.8636815
225,0.90291077
226,0.8953717
227,0.89049447
228,0.8975539
229,0.9235001
230,0.9246177
231,0.9195249
232,0.89711195
233,0.9046314
234,0.8805507
