,y_predict
0,2867.1152
1,2889.0596
2,2874.9778
3,2867.4873
4,2855.8518
5,2891.9146
6,2892.0464
7,2894.8347
8,2898.56
9,2894.384
10,2906.4893
11,2899.481
12,2877.8591
13,2874.9976
14,2863.3523
15,2870.2253
16,2864.9878
17,2878.5488
18,2919.6003
19,2922.9375
20,2907.2617
21,2938.4294
22,2938.8625
23,2954.115
24,2975.6462
25,2972.468
26,2977.6365
27,2996.5107
28,2985.954
29,2979.5415
30,2969.2043
31,2972.0225
32,2985.0771
33,3010.6116
34,3005.8872
35,3012.0635
36,2973.6191
37,2957.9976
38,2972.2078
39,2963.4866
40,2968.5337
41,2977.4265
42,2981.931
43,2973.309
44,2986.3896
45,2995.4219
46,3004.3274
47,3007.7424
48,2986.8955
49,2980.4028
50,2970.0278
51,2962.5469
52,2938.6133
53,2946.1526
54,2919.3677
55,2923.8525
56,2920.5737
57,2922.7014
58,2919.4368
59,2887.246
60,2898.6702
61,2889.382
62,2897.9377
63,2890.1592
64,2893.2905
65,2919.3362
66,2918.6084
67,2914.431
68,2888.9915
69,2841.5393
70,2841.0752
71,2825.2683
72,2845.43
73,2830.831
74,2792.8186
75,2753.4167
76,2731.5295
77,2732.4548
78,2704.2554
79,2731.3667
80,2754.73
81,2751.5808
82,2731.1091
83,2710.7058
84,2720.0237
85,2716.0886
86,2708.9812
87,2678.149
88,2653.3035
89,2653.2756
90,2630.1978
91,2641.202
92,2655.8223
93,2678.3635
94,2685.6074
95,2692.0015
96,2687.67
97,2703.0315
98,2695.1738
99,2692.9797
100,2710.0708
101,2720.1868
102,2742.3108
103,2734.168
104,2747.0925
105,2775.2078
106,2749.9731
107,2768.6912
108,2744.544
109,2725.8584
110,2708.3354
111,2732.1455
112,2759.4187
113,2747.653
114,2739.3105
115,2758.2058
116,2806.7908
117,2790.8735
118,2790.9836
119,2800.3257
120,2798.4644
121,2806.3447
122,2832.8088
123,2808.714
124,2807.3386
125,2823.4355
126,2855.4744
127,2840.6711
128,2840.2932
129,2832.3196
130,2846.45
131,2854.326
132,2847.5176
133,2846.8997
134,2832.1013
135,2808.074
136,2787.7534
137,2794.1172
138,2784.911
139,2775.1182
140,2818.3435
141,2804.4895
142,2815.477
143,2833.5752
144,2843.3887
145,2845.5105
146,2843.2297
147,2849.0234
148,2844.1724
149,2856.076
150,2864.2
151,2847.473
152,2837.4333
153,2848.3743
154,2845.1287
155,2843.8281
156,2845.6519
157,2838.0652
158,2832.6594
159,2837.3162
160,2861.713
161,2860.5122
162,2820.1318
163,2826.4478
164,2863.2402
165,2876.8987
166,2861.8474
167,2861.3787
168,2851.9766
169,2827.8823
170,2828.2578
171,2830.7432
172,2833.3608
173,2843.4656
174,2866.0354
175,2868.3745
176,2857.074
177,2850.3518
178,2866.7896
179,2869.139
180,2844.1743
181,2859.5984
182,2831.2007
183,2825.9082
184,2834.254
185,2818.4287
186,2803.1677
187,2792.7507
188,2797.55
189,2800.052
190,2773.338
191,2759.5254
192,2749.3909
193,2768.5918
194,2743.033
195,2762.998
196,2756.4346
197,2751.0798
198,2754.8167
199,2773.907
200,2791.588
201,2801.867
202,2830.1797
203,2861.2695
204,2864.3528
205,2864.8972
206,2867.0972
207,2857.4824
208,2852.2305
209,2884.6565
210,2887.356
211,2887.8826
212,2895.2117
213,2855.4358
214,2902.3357
215,2888.6196
216,2868.1953
217,2862.4307
218,2876.1387
219,2834.2466
220,2825.1985
221,2808.0022
222,2796.1792
223,2792.0476
224,2811.266
225,2838.8499
226,2848.6206
227,2845.8743
228,2837.3132
229,2869.532
230,2879.2642
231,2879.6143
232,2867.1138
233,2878.3103
234,2841.1873
