,y_predict
0,0.8771465
1,0.8771465
2,0.8771465
3,0.8771465
4,0.8771465
5,0.8771465
6,0.8771465
7,0.8771465
8,0.8771465
9,0.8771465
10,0.8771465
11,0.8771465
12,0.8771465
13,0.8771465
14,0.8771465
15,0.84184283
16,0.8771465
17,0.8771465
18,0.8771465
19,0.8771465
20,0.8771465
21,0.8771465
22,0.8771465
23,0.8771465
24,0.8771465
25,0.8771465
26,0.8771465
27,0.8771465
28,0.8771465
29,0.8771465
30,0.8771465
31,0.8771465
32,0.8771465
33,0.8771465
34,0.8771465
35,0.8771465
36,0.8771465
37,0.8771465
38,0.8771465
39,0.8771465
40,0.8771465
41,0.8771465
42,0.8771465
43,0.8771465
44,0.8771465
45,0.8771465
46,0.8771465
47,0.8771465
48,0.8771465
49,0.8771465
50,0.8771465
51,0.8771465
52,0.8771465
53,0.8771465
54,0.8771465
55,0.8771465
56,0.8771465
57,0.8771465
58,0.8771465
59,0.84184283
60,0.84184283
61,0.8771465
62,0.8771465
63,0.8771465
64,0.8771465
65,0.8771465
66,0.8771465
67,0.84184283
68,0.84184283
69,0.8694717
70,0.8694717
71,0.8694717
72,0.8353584
73,0.82552624
74,0.8044636
75,0.776666
76,0.7160912
77,0.70576805
78,0.70576805
79,0.7310704
80,0.75117904
81,0.73024
82,0.7061071
83,0.70576805
84,0.70576805
85,0.7280649
86,0.6874784
87,0.67980456
88,0.66245747
89,0.6474061
90,0.64629185
91,0.6569312
92,0.6495794
93,0.6874784
94,0.6874784
95,0.6894054
96,0.6894054
97,0.6894054
98,0.6894054
99,0.6966913
100,0.71375334
101,0.70576805
102,0.70576805
103,0.7057448
104,0.73024
105,0.7363794
106,0.75731844
107,0.73024
108,0.7061071
109,0.70576805
110,0.7280649
111,0.73399335
112,0.71677876
113,0.71677876
114,0.75779057
115,0.76158565
116,0.8007416
117,0.7771169
118,0.78895736
119,0.78895736
120,0.8041159
121,0.80183417
122,0.8058686
123,0.80160767
124,0.80160767
125,0.8036917
126,0.81311756
127,0.81311756
128,0.81311756
129,0.81729764
130,0.81311756
131,0.8036917
132,0.8036917
133,0.8036917
134,0.7796554
135,0.7475175
136,0.75033885
137,0.73461634
138,0.77422756
139,0.732401
140,0.7451889
141,0.74513185
142,0.7553607
143,0.7783584
144,0.79602766
145,0.79602766
146,0.795164
147,0.795164
148,0.79602766
149,0.8036917
150,0.795164
151,0.77566856
152,0.7751256
153,0.77626956
154,0.74833786
155,0.74833786
156,0.7393273
157,0.73285323
158,0.73442686
159,0.74833786
160,0.7659638
161,0.74833786
162,0.7434563
163,0.74833786
164,0.77626956
165,0.7751256
166,0.7660962
167,0.7553607
168,0.7377348
169,0.75693434
170,0.7751256
171,0.8036917
172,0.8142618
173,0.8077295
174,0.84184283
175,0.84184283
176,0.8077295
177,0.8077295
178,0.8077295
179,0.80935436
180,0.82808965
181,0.82738376
182,0.81729764
183,0.8036917
184,0.8036917
185,0.8036917
186,0.7914271
187,0.78490824
188,0.76551545
189,0.7892604
190,0.7403729
191,0.7473271
192,0.7475175
193,0.7475175
194,0.7512098
195,0.7403729
196,0.7666391
197,0.8036917
198,0.795164
199,0.8036917
200,0.82808965
201,0.84184283
202,0.84184283
203,0.8771465
204,0.8771465
205,0.8771465
206,0.8771465
207,0.84184283
208,0.84184283
209,0.84184283
210,0.84184283
211,0.84184283
212,0.84184283
213,0.84184283
214,0.84184283
215,0.8434677
216,0.8694717
217,0.8694717
218,0.8353584
219,0.81311756
220,0.80160767
221,0.79697496
222,0.7828813
223,0.77137816
224,0.8036917
225,0.81311756
226,0.82808965
227,0.82808965
228,0.8353584
229,0.8353584
230,0.8434677
231,0.84184283
232,0.8434677
233,0.8353584
