,y_predict
0,0.8619038
1,0.85409206
2,0.862094
3,0.85955673
4,0.876605
5,0.87436587
6,0.8752234
7,0.89139354
8,0.883577
9,0.8819245
10,0.87418693
11,0.86605275
12,0.8597535
13,0.85409206
14,0.85218185
15,0.86593586
16,0.89942276
17,0.89139354
18,0.89316976
19,0.90510184
20,0.9178296
21,0.92053676
22,0.94044334
23,0.9383346
24,0.9594627
25,0.97321594
26,0.9748475
27,0.9540644
28,0.9449086
29,0.96442753
30,0.95925915
31,0.9805208
32,0.989743
33,0.9813868
34,0.96136737
35,0.9583229
36,0.9424083
37,0.94777226
38,0.9478812
39,0.9574366
40,0.9581256
41,0.96917766
42,0.96917766
43,0.9652332
44,0.967007
45,0.9571616
46,0.9345208
47,0.92955786
48,0.9278597
49,0.9213844
50,0.90743315
51,0.9092915
52,0.8810208
53,0.87750995
54,0.8794466
55,0.8747664
56,0.8861439
57,0.8693985
58,0.87364364
59,0.8741029
60,0.8740179
61,0.8740179
62,0.88057846
63,0.8873234
64,0.8865997
65,0.8865997
66,0.8693985
67,0.8598089
68,0.8234081
69,0.8140289
70,0.8211229
71,0.8200271
72,0.8041471
73,0.75749546
74,0.7613864
75,0.74496424
76,0.73267823
77,0.7496446
78,0.7554809
79,0.7699796
80,0.7486638
81,0.7505811
82,0.74362046
83,0.73349845
84,0.7285768
85,0.68559474
86,0.68818617
87,0.6763688
88,0.64862925
89,0.6689362
90,0.68122864
91,0.6962697
92,0.7071727
93,0.7115167
94,0.710108
95,0.7274092
96,0.7274092
97,0.7104211
98,0.7274092
99,0.7268876
100,0.7419082
101,0.7534627
102,0.74404085
103,0.76880956
104,0.75049376
105,0.76307976
106,0.7538328
107,0.7426631
108,0.73110634
109,0.7360645
110,0.7606382
111,0.77418375
112,0.76090795
113,0.77689004
114,0.8097452
115,0.80354595
116,0.80342996
117,0.80824614
118,0.8081089
119,0.80965817
120,0.8243139
121,0.81057096
122,0.81703234
123,0.8175261
124,0.8414171
125,0.83211225
126,0.83893937
127,0.8399864
128,0.8443308
129,0.84104896
130,0.8443308
131,0.8446809
132,0.8390255
133,0.81653035
134,0.8079075
135,0.794281
136,0.7946119
137,0.80410016
138,0.81479764
139,0.82662237
140,0.83878124
141,0.83968854
142,0.8632777
143,0.85320526
144,0.8571153
145,0.8571153
146,0.8590349
147,0.8673947
148,0.86661446
149,0.86496437
150,0.86307925
151,0.8674297
152,0.8669172
153,0.87130165
154,0.87000585
155,0.86318797
156,0.8564892
157,0.86847764
158,0.86847764
159,0.87820554
160,0.86742646
161,0.87161994
162,0.8739858
163,0.8591334
164,0.8590349
165,0.84060925
166,0.8382804
167,0.83084285
168,0.8532791
169,0.8488964
170,0.86094856
171,0.8717606
172,0.90670204
173,0.9043183
174,0.896502
175,0.89630693
176,0.8818409
177,0.8789898
178,0.85426944
179,0.84148735
180,0.8340267
181,0.8455133
182,0.8348048
183,0.83139926
184,0.82896656
185,0.82049876
186,0.81478786
187,0.8267749
188,0.8202122
189,0.7955486
190,0.7851759
191,0.7923138
192,0.79296345
193,0.7938746
194,0.80782855
195,0.8243139
196,0.823416
197,0.8340984
198,0.841756
199,0.86251193
200,0.87155277
201,0.87930745
202,0.87205815
203,0.8736156
204,0.87667364
205,0.8774794
206,0.8743796
207,0.8777101
208,0.8772698
209,0.8811373
210,0.8712936
211,0.85892606
212,0.8799031
213,0.8550963
214,0.8455358
215,0.84005356
216,0.84087855
217,0.8173376
218,0.8215431
219,0.8097229
220,0.79309005
221,0.7951498
222,0.8030862
223,0.8367041
224,0.8320951
225,0.83996296
226,0.85149837
227,0.86802477
228,0.8660116
229,0.8660116
230,0.8537242
231,0.8592992
232,0.84017605
233,0.8542124
