,y_predict
0,0.98266816
1,0.9802203
2,1.0020053
3,1.0056262
4,1.0056262
5,0.9969498
6,0.9777451
7,0.97335136
8,0.9548886
9,0.9548886
10,0.97245085
11,0.98054105
12,1.0217816
13,1.020147
14,1.0193841
15,0.9975462
16,0.9818628
17,1.0108328
18,1.0388955
19,1.0507472
20,1.059763
21,1.0651318
22,1.0748137
23,1.052585
24,1.052585
25,1.0830462
26,1.0743579
27,1.1083305
28,1.1220058
29,1.1085103
30,1.0840148
31,1.0771163
32,1.0641059
33,1.0666932
34,1.0669725
35,1.0847323
36,1.091432
37,1.0870825
38,1.0884991
39,1.0863068
40,1.0884991
41,1.0740296
42,1.0557629
43,1.0585049
44,1.0519655
45,1.0614532
46,1.0449603
47,1.052585
48,1.0224159
49,1.0148475
50,1.0215288
51,0.9998417
52,1.0017474
53,0.98099136
54,0.975914
55,0.9872674
56,0.9922045
57,1.0012158
58,0.9979123
59,1.0020885
60,1.0020885
61,0.9922045
62,0.9724582
63,0.9578422
64,0.9396931
65,0.94523585
66,0.9534096
67,0.95851845
68,0.9300368
69,0.8726872
70,0.87033504
71,0.86148727
72,0.8521922
73,0.8846913
74,0.8759035
75,0.86937493
76,0.8413187
77,0.8420254
78,0.8446417
79,0.82749903
80,0.82166094
81,0.78592134
82,0.7692659
83,0.7799412
84,0.7373119
85,0.75252134
86,0.7832091
87,0.7926139
88,0.8082232
89,0.80731153
90,0.80648726
91,0.81291217
92,0.8134499
93,0.801553
94,0.81516415
95,0.8216002
96,0.8363298
97,0.84001356
98,0.84462315
99,0.873417
100,0.853302
101,0.87853533
102,0.86597157
103,0.83528316
104,0.8377983
105,0.8377983
106,0.8420254
107,0.8670835
108,0.8530827
109,0.882527
110,0.906651
111,0.8980897
112,0.89655316
113,0.8992458
114,0.887934
115,0.89875317
116,0.94209325
117,0.92222613
118,0.93166906
119,0.93177086
120,0.9552597
121,0.94729334
122,0.94889045
123,0.948782
124,0.94216603
125,0.94629943
126,0.95200926
127,0.9509363
128,0.94258106
129,0.9163163
130,0.90638036
131,0.8989367
132,0.91309017
133,0.91062534
134,0.92798257
135,0.94368815
136,0.9519206
137,0.9538988
138,0.9578517
139,0.950149
140,0.9586028
141,0.9609724
142,0.9616823
143,0.984414
144,0.9865893
145,0.9726028
146,0.9824077
147,0.9795601
148,0.9741598
149,0.9806867
150,0.97486675
151,0.9686451
152,0.955739
153,0.97418064
154,0.98106426
155,0.98688424
156,0.9800006
157,0.9806867
158,0.97486675
159,0.9683398
160,0.9550053
161,0.9493955
162,0.9493955
163,0.9550053
164,0.9628724
165,0.97418064
166,0.98688424
167,0.9824077
168,1.020147
169,1.0056105
170,0.9801588
171,1.005773
172,0.999395
173,0.9825051
174,0.95164376
175,0.95164376
176,0.9423365
177,0.96575856
178,0.9562713
179,0.96314627
180,0.95076144
181,0.91756463
182,0.9326738
183,0.9378931
184,0.93927485
185,0.9001684
186,0.88122505
187,0.8853491
188,0.89378387
189,0.91018414
190,0.919528
191,0.94580615
192,0.9359108
193,0.9405674
194,0.9427453
195,0.9594926
196,0.96675676
197,0.98688424
198,1.0015334
199,0.97659975
200,0.98633105
201,0.9835465
202,0.9835465
203,0.9835465
204,0.9906006
205,0.99620163
206,0.98258096
207,0.9661959
208,0.9712145
209,0.9615347
210,0.9615347
211,0.956345
212,0.9527668
213,0.92482597
214,0.9199704
215,0.913847
216,0.89488876
217,0.89492005
218,0.92404884
219,0.96053755
220,0.9596573
221,0.9538333
222,0.9604499
223,0.9568036
224,0.9632467
225,0.97241
226,0.9741598
227,0.97292775
228,0.95669806
229,0.9611422
