,y_predict
0,2872.791
1,2869.9368
2,2895.3381
3,2899.56
4,2899.56
5,2889.4436
6,2867.0508
7,2861.9277
8,2840.4001
9,2840.4001
10,2860.8777
11,2870.3108
12,2918.3975
13,2916.4915
14,2915.6018
15,2890.139
16,2871.852
17,2905.6309
18,2938.3523
19,2952.1711
20,2962.6836
21,2968.9438
22,2980.233
23,2954.3142
24,2954.3142
25,2989.8318
26,2979.7014
27,3019.3132
28,3035.2588
29,3019.523
30,2990.9614
31,2982.9175
32,2967.7476
33,2970.7644
34,2971.0898
35,2991.7979
36,2999.6099
37,2994.5383
38,2996.19
39,2993.6338
40,2996.19
41,2979.3186
42,2958.0195
43,2961.2168
44,2953.5918
45,2964.6545
46,2945.4236
47,2954.3142
48,2919.137
49,2910.3123
50,2918.1028
51,2892.8154
52,2895.0374
53,2870.836
54,2864.9158
55,2878.1538
56,2883.9104
57,2894.4177
58,2890.566
59,2895.4353
60,2895.4353
61,2883.9104
62,2860.8862
63,2843.8438
64,2822.6821
65,2829.145
66,2838.6755
67,2844.6326
68,2811.4229
69,2744.5535
70,2741.8108
71,2731.4941
72,2720.656
73,2758.55
74,2748.3035
75,2740.6912
76,2707.9778
77,2708.8018
78,2711.852
79,2691.864
80,2685.0566
81,2643.3843
82,2623.9639
83,2636.4116
84,2586.7056
85,2604.4397
86,2640.2217
87,2651.1877
88,2669.3882
89,2668.3252
90,2667.3643
91,2674.8557
92,2675.4824
93,2661.6108
94,2677.4812
95,2684.9858
96,2702.1606
97,2706.4558
98,2711.8306
99,2745.4043
100,2721.9502
101,2751.372
102,2736.723
103,2700.9402
104,2703.8728
105,2703.8728
106,2708.8018
107,2738.0193
108,2721.6943
109,2756.0266
110,2784.155
111,2774.1724
112,2772.381
113,2775.5205
114,2762.331
115,2774.946
116,2825.4807
117,2802.3157
118,2813.326
119,2813.4448
120,2840.8328
121,2831.544
122,2833.4062
123,2833.2798
124,2825.5657
125,2830.3853
126,2837.0427
127,2835.7917
128,2826.0496
129,2795.4248
130,2783.8396
131,2775.1602
132,2791.663
133,2788.7893
134,2809.0276
135,2827.3403
136,2836.9395
137,2839.246
138,2843.855
139,2834.8738
140,2844.731
141,2847.494
142,2848.3215
143,2874.827
144,2877.3633
145,2861.055
146,2872.4875
147,2869.167
148,2862.87
149,2870.4807
150,2863.6948
151,2856.4402
152,2841.3916
153,2862.8945
154,2870.921
155,2877.707
156,2869.681
157,2870.4807
158,2863.6948
159,2856.0842
160,2840.5361
161,2833.995
162,2833.995
163,2840.5361
164,2849.7092
165,2862.8945
166,2877.707
167,2872.4875
168,2916.4915
169,2899.5417
170,2869.8652
171,2899.7314
172,2892.2947
173,2872.6008
174,2836.6165
175,2836.6165
176,2825.7644
177,2853.0745
178,2842.0125
179,2850.0283
180,2835.588
181,2796.8804
182,2814.4978
183,2820.5833
184,2822.1943
185,2776.5964
186,2754.5085
187,2759.317
188,2769.1519
189,2788.2747
190,2799.1697
191,2829.81
192,2818.2722
193,2823.7017
194,2826.2412
195,2845.7683
196,2854.2383
197,2877.707
198,2894.788
199,2865.715
200,2877.0618
201,2873.8152
202,2873.8152
203,2873.8152
204,2882.0403
205,2888.5713
206,2872.6892
207,2853.5842
208,2859.436
209,2848.1494
210,2848.1494
211,2842.0984
212,2837.9263
213,2805.347
214,2799.6855
215,2792.5454
216,2770.4404
217,2770.4768
218,2804.441
219,2846.9868
220,2845.9604
221,2839.1697
222,2846.8845
223,2842.6328
224,2850.1458
225,2860.83
226,2862.87
227,2861.4338
228,2842.51
229,2847.692
