,y_predict
0,0.8588713
1,0.85516906
2,0.8577723
3,0.8588713
4,0.8558925
5,0.8588713
6,0.8588713
7,0.85516906
8,0.85516906
9,0.858341
10,0.85646117
11,0.85407007
12,0.8588713
13,0.85407007
14,0.858341
15,0.858341
16,0.85095936
17,0.85516906
18,0.8588713
19,0.85463876
20,0.8588713
21,0.857242
22,0.857242
23,0.8588713
24,0.857242
25,0.85849345
26,0.86114305
27,0.85959244
28,0.8569105
29,0.85926324
30,0.86061275
31,0.85951376
32,0.85951376
33,0.8589299
34,0.86002886
35,0.8569105
36,0.85606426
37,0.85183173
38,0.8525145
39,0.86061275
40,0.86004406
41,0.86004406
42,0.86061275
43,0.86061275
44,0.85581154
45,0.86114305
46,0.86114305
47,0.8605698
48,0.8574408
49,0.86061275
50,0.85926324
51,0.8536135
52,0.8519842
53,0.8594556
54,0.8599859
55,0.8605698
56,0.8600395
57,0.8536135
58,0.8519842
59,0.8560812
60,0.8589405
61,0.8571802
62,0.8600395
63,0.8594708
64,0.8605698
65,0.8556864
66,0.8566115
67,0.8577105
68,0.8502239
69,0.8412735
70,0.81641847
71,0.82174855
72,0.82121825
73,0.82284755
74,0.80790037
75,0.76069325
76,0.7534671
77,0.75343704
78,0.7458291
79,0.75313026
80,0.755687
81,0.76888716
82,0.7503305
83,0.74849606
84,0.7465298
85,0.7268227
86,0.72891635
87,0.67447305
88,0.68083984
89,0.68137014
90,0.6428113
91,0.67143095
92,0.68083984
93,0.7115178
94,0.72601646
95,0.72223955
96,0.72386885
97,0.7249175
98,0.7239228
99,0.7212449
100,0.74362993
101,0.72654676
102,0.74364513
103,0.755687
104,0.7431148
105,0.7854334
106,0.7607226
107,0.7820562
108,0.76177084
109,0.7468132
110,0.7302987
111,0.7460147
112,0.76725787
113,0.78609633
114,0.7624129
115,0.7858442
116,0.81896806
117,0.81742233
118,0.8137807
119,0.8228905
120,0.8148399
121,0.81781715
122,0.8370307
123,0.8191883
124,0.8191883
125,0.8269101
126,0.8491929
127,0.85775346
128,0.84672546
129,0.8417276
130,0.85665447
131,0.8480214
132,0.8565963
133,0.8519927
134,0.842705
135,0.81271625
136,0.80790037
137,0.7961332
138,0.799194
139,0.804901
140,0.82059735
141,0.8321144
142,0.8503071
143,0.85828376
144,0.85828376
145,0.85775346
146,0.85775346
147,0.8560706
148,0.85716957
149,0.85346735
150,0.85718477
151,0.85665447
152,0.8571802
153,0.84950274
154,0.85320497
155,0.84950274
156,0.85295224
157,0.8548297
158,0.85536003
159,0.8548297
160,0.85718477
161,0.85147774
162,0.8518556
163,0.84327
164,0.8507566
165,0.84956527
166,0.8502263
167,0.8421771
168,0.81439275
169,0.81492305
170,0.83749133
171,0.8463439
172,0.8536803
173,0.8518005
174,0.8499781
175,0.8499781
176,0.85315
177,0.85315
178,0.8525813
179,0.85257673
180,0.84337497
181,0.8451008
182,0.82132715
183,0.83242726
184,0.8186044
185,0.82232183
186,0.8228905
187,0.8202458
188,0.8202458
189,0.8224726
190,0.82202584
191,0.7956471
192,0.79680365
193,0.79685724
194,0.7894303
195,0.79647225
196,0.8181034
197,0.8201642
198,0.8233738
199,0.8276063
200,0.8458544
201,0.84903497
202,0.85200804
203,0.8536803
204,0.8536803
205,0.8499781
206,0.8518005
207,0.8525813
208,0.8577105
209,0.8577105
210,0.85775346
211,0.8501703
212,0.84897244
213,0.8559287
214,0.852106
215,0.85536003
216,0.8485623
217,0.8352071
218,0.84897244
219,0.8281434
220,0.8216773
221,0.82016677
222,0.79226416
223,0.7980589
224,0.82073545
225,0.8422343
226,0.85200804
227,0.8566115
228,0.8559287
229,0.84787345
230,0.8559287
231,0.85074127
232,0.843708
233,0.84327
234,0.85257673
