,y_predict
0,0.8609715
1,0.8599975
2,0.8640738
3,0.85991424
4,0.8589805
5,0.85825956
6,0.85759526
7,0.8539548
8,0.8546114
9,0.8572854
10,0.859561
11,0.8538852
12,0.8576306
13,0.8480285
14,0.85218793
15,0.85619444
16,0.8492898
17,0.85713094
18,0.85599744
19,0.8519077
20,0.8583631
21,0.85635704
22,0.8517614
23,0.8574447
24,0.85208166
25,0.8510836
26,0.85436094
27,0.8619579
28,0.85155815
29,0.85829735
30,0.8598904
31,0.8596802
32,0.85672796
33,0.85234827
34,0.8461909
35,0.8496821
36,0.8558335
37,0.85394144
38,0.85784876
39,0.85649186
40,0.86065173
41,0.8557533
42,0.8602223
43,0.86019367
44,0.85758156
45,0.857306
46,0.8524911
47,0.8593675
48,0.8558831
49,0.85403097
50,0.863518
51,0.8661381
52,0.85784507
53,0.8544846
54,0.85549533
55,0.84819263
56,0.86190337
57,0.85734093
58,0.8557164
59,0.83971316
60,0.85543716
61,0.84288853
62,0.8573507
63,0.85915816
64,0.8567818
65,0.8583802
66,0.8378001
67,0.84529483
68,0.8417162
69,0.8405545
70,0.8094522
71,0.8176862
72,0.81664646
73,0.8192766
74,0.7966842
75,0.73574525
76,0.748954
77,0.7399534
78,0.72841
79,0.733468
80,0.7434777
81,0.7640697
82,0.7232142
83,0.7295163
84,0.7268244
85,0.7121003
86,0.71277994
87,0.6519374
88,0.67352957
89,0.6709715
90,0.64197254
91,0.6658271
92,0.66886765
93,0.7001222
94,0.712644
95,0.7128162
96,0.70784163
97,0.7131263
98,0.7098789
99,0.71083754
100,0.7325166
101,0.7170429
102,0.72725135
103,0.74258196
104,0.72294044
105,0.77930164
106,0.742137
107,0.78459567
108,0.743605
109,0.72481143
110,0.72265476
111,0.7280939
112,0.7659022
113,0.76854205
114,0.74244034
115,0.78734726
116,0.8125218
117,0.81437045
118,0.80371505
119,0.8093267
120,0.79733086
121,0.80068845
122,0.830155
123,0.8204767
124,0.8083528
125,0.81532514
126,0.8344244
127,0.8537055
128,0.8432012
129,0.83414173
130,0.8528367
131,0.83797634
132,0.83868265
133,0.8457493
134,0.8419623
135,0.80862284
136,0.7950086
137,0.7926493
138,0.7974686
139,0.8011224
140,0.8195398
141,0.83491063
142,0.8404152
143,0.85712147
144,0.85427904
145,0.85902363
146,0.8531912
147,0.8523526
148,0.8484971
149,0.84296405
150,0.85048276
151,0.8506943
152,0.84389985
153,0.84444356
154,0.8505685
155,0.8510064
156,0.8512194
157,0.85263354
158,0.8505024
159,0.84934163
160,0.84685063
161,0.85090137
162,0.85893846
163,0.8372172
164,0.8433929
165,0.8398762
166,0.85273
167,0.83517903
168,0.8099256
169,0.81394386
170,0.8254386
171,0.8416105
172,0.8503019
173,0.85272783
174,0.8501745
175,0.84722525
176,0.85930747
177,0.85527503
178,0.8455786
179,0.84313524
180,0.835734
181,0.8331018
182,0.8140384
183,0.82421774
184,0.81380874
185,0.8127828
186,0.81572264
187,0.8048369
188,0.8001299
189,0.8152209
190,0.8038947
191,0.7835072
192,0.78725225
193,0.78273714
194,0.7905882
195,0.7919482
196,0.8103971
197,0.81466573
198,0.8135596
199,0.829761
200,0.83625203
201,0.8428318
202,0.8399241
203,0.8417266
204,0.84265596
205,0.8422718
206,0.8354163
207,0.84094644
208,0.8484592
209,0.86117
210,0.8637867
211,0.8537756
212,0.84644175
213,0.84548986
214,0.8561484
215,0.85566044
216,0.8583044
217,0.83546853
218,0.8431784
219,0.81718475
220,0.81282544
221,0.8263143
222,0.7937717
223,0.8056083
224,0.8117536
225,0.8275859
226,0.83774334
227,0.8432916
228,0.85010636
229,0.84554017
230,0.84625727
231,0.8557132
232,0.84741074
233,0.8476866
234,0.84185535
