feature_name,lstm_residual_importance,gru_residual_importance,stacking_importance,dual_residual_importance
原始特征1,0.0025420417,0.004309825,0.00015924661,0.002371749
原始特征2,0.00082493335,0.00086216757,2.8918406e-05,0.0009987062
原始特征3,0.008735226,0.010655841,0.00034442506,0.011530259
原始特征4,0.004497838,0.0046293153,9.849748e-05,0.0047412305
原始特征5,0.0028610313,0.008079738,0.0010404226,0.009125415
原始特征6,0.0040509803,0.0048590032,0.0017322634,0.0045895353
原始特征7,0.0015821983,0.0017174075,6.349992e-05,0.0018432748
原始特征8,0.00097319996,0.0012530689,4.1846233e-05,0.001310058
原始特征9,0.0017233525,0.0015816349,0.08879824,0.002377353
原始特征10,0.0015796687,0.0012574593,0.089237936,0.0016623255
原始特征11,0.0015622204,0.0012676428,0.000797163,0.0017089284
原始特征12,0.0021331636,0.0025543207,0.001294657,0.0038106407
原始特征13,0.0009375317,0.0011136149,0.0005451447,0.0011126997
原始特征14,0.0026430767,0.0016566712,0.033514023,0.0019414278
原始特征15,0.0073672165,0.014649673,0.00015106023,0.016428117
原始特征16,0.0018355509,0.0018331503,5.1316987e-05,0.0018543156
原始特征17,0.0038552051,0.007926772,0.00017344984,0.007840222
原始特征18,0.005336811,0.003330181,5.8303325e-05,0.004044022
原始特征19,0.0017706566,0.0054910243,0.0047750473,0.0032816126
原始特征20,0.0023638823,0.0020778321,0.0011605617,0.002060577
原始特征21,0.0014990508,0.0014363298,6.544106e-05,0.0018023383
原始特征22,0.0018231518,0.0021785605,6.394811e-05,0.002187181
原始特征23,0.00586312,0.0023686113,0.00054165476,0.0070845955
原始特征24,0.008390562,0.0011179129,6.681242e-05,0.0017435822
原始特征25,0.0018929681,0.0020817427,0.00014214586,0.0016670853
原始特征26,0.0011772251,0.0023471557,0.0002800918,0.0015948599
原始特征27,0.001295871,0.0049433946,0.0017560149,0.0019514469
原始特征28,0.0016619734,0.0011776431,4.249429e-05,0.0021000528
原始特征29,0.01412037,0.009073391,0.00014014773,0.012319316
原始特征30,0.0017350832,0.001853061,7.274641e-05,0.0018931961
原始特征31,0.0032306563,0.00983955,0.0043576066,0.004438307
原始特征32,0.0031870075,0.003922736,7.800014e-05,0.0027382905
原始特征33,0.0023903497,0.0060278485,0.0014173839,0.0023532335
原始特征34,0.0024369492,0.0017622688,0.00012211176,0.0036799707
原始特征35,0.0010462512,0.001469238,5.3257278e-05,0.0011224912
原始特征36,0.0014622638,0.001438295,5.897929e-05,0.0016546368
原始特征37,0.0032962062,0.0031487902,0.061735157,0.002533531
原始特征38,0.001889947,0.0024428451,0.00040912683,0.0017741894
原始特征39,0.0012734663,0.00062844064,1.1289751e-05,0.004401465
原始特征40,0.005589002,0.0024600558,0.10703019,0.007497483
原始特征41,0.0013666087,0.003202161,0.0007044258,0.0030336848
原始特征42,0.007911153,0.006141805,0.0021640356,0.007399912
原始特征43,0.007454445,0.0068226964,9.8442986e-05,0.004724009
原始特征44,0.002623475,0.002194531,6.427861e-05,0.0029579971
原始特征45,0.016691595,0.019952847,0.00036409585,0.017502068
原始特征46,0.0079553155,0.007234508,0.0084599545,0.0070320475
原始特征47,0.0039442987,0.0038233458,0.00017303998,0.002857765
原始特征48,0.0017078689,0.0017035485,0.0010660026,0.0016509427
原始特征49,0.0010021087,0.0011270351,3.9443537e-05,0.001059603
原始特征50,0.0023710697,0.0016596366,5.7998583e-05,0.0019459265
原始特征51,0.014375847,0.017203161,0.060386304,0.018714122
原始特征52,0.0033186274,0.0020257381,0.0011168816,0.001617275
原始特征53,0.0016181302,0.008693763,0.00018687431,0.0022359027
原始特征54,0.0,0.0,0.0,0.0
原始特征55,0.0,0.0,0.0003008747,0.0
原始特征56,0.0004203837,0.0006525756,5.80133e-05,0.00062806584
原始特征57,0.0022661013,0.0021202252,0.00020385753,0.0028440142
原始特征58,0.0025334782,0.0026420518,4.8730268e-05,0.0027430218
原始特征59,0.040053565,0.06952635,0.00018925645,0.05929136
原始特征60,0.015325009,0.01465835,0.00068835204,0.016314402
原始特征61,0.002109315,0.002668242,0.00011583342,0.0032456324
原始特征62,0.0034728083,0.003033635,0.0014849787,0.0035093059
原始特征63,0.0010779089,0.0011469927,4.486285e-05,0.0010800547
原始特征64,0.010309439,0.004592596,5.573883e-05,0.0056528077
原始特征65,0.024412433,0.025689872,0.19516693,0.02469129
原始特征66,0.0024545745,0.0039208364,0.001785234,0.002899099
原始特征67,0.0,0.0,0.0,0.0
原始特征68,0.00081081013,0.0,2.2700948e-05,0.0
原始特征69,0.0,0.0,0.0,0.0
原始特征70,0.0,0.0,0.0,0.0
LSTM预测,0.11520472,0.062231682,0.009699317,0.066264294
GRU预测,0.12407394,0.1374996,0.0648857,0.18595919
模型平均,0.046267558,0.06462214,0.16451237,0.052725047
模型差异,0.011929259,0.0022102292,6.7761204e-05,0.007118727
绝对差异,0.014901682,0.029377595,5.657907e-05,0.03137194
模型乘积,0.001633426,0.0016451081,0.053132854,0.0028001026
最大值,0.07922413,0.017823761,0.0025846595,0.01984321
最小值,0.0038108532,0.00448535,0.016447559,0.004004975
置信度,0.30093086,0.32379258,3.1697175e-05,0.2823448
加权平均,0.0,0.0010512767,0.011023753,0.0007676605
