strategy,r2,mae,rmse,mape,improvement_vs_baseline
策略8-Ridge残差,0.8894002276890408,24.45668742797476,30.625934925796415,0.008647723444515776,0.04955517257761988
策略4-残差剪裁,0.8883566910573928,25.16948879076087,30.77007741314675,0.008883261321454958,0.048511635945971854
策略2-GRU残差学习,0.8883072764544413,25.178085725203804,30.776886253564925,0.008886234856571577,0.04846222134302036
策略5-加权融合30%,0.8640936771093393,27.82951023267663,33.94939740779137,0.009802243064031428,0.02424862199791833
策略6-终极组合,0.8638955326197122,27.866802182404893,33.9741366392009,0.009814610473694793,0.024050477508291257
策略3-双残差学习,0.8516704527005424,29.181109884510885,35.46713226958197,0.01035061276425337,0.011825397589121489
GRU单模型,0.8490942356090643,29.385702912703813,35.7738065121234,0.010342478943121557,0.009249180497643339
策略7-动态权重融合,0.8480961085839541,30.21962663183872,35.891919807293114,0.010682706674630553,0.008251053472533187
简单平均(基线),0.8398450551114209,31.063954228940226,36.85381191832923,0.010959352915277184,0.0
LSTM单模型,0.785314646427218,36.42418690557067,42.66909653235416,0.012881913282746744,-0.05453040868420289
策略1-LSTM残差学习,0.7043418613978292,38.82110330332881,50.07340887645843,0.013810235734967601,-0.13550319371359176
