strategy,r2,mae,rmse,mape,improvement_vs_baseline
策略4-残差剪裁,0.8807680558100872,26.304699176290768,31.798640421471607,0.009287672613384413,0.046600898043713146
策略2-GRU残差学习,0.8797989172917919,26.425588060461966,31.927611388877033,0.00933084377134215,0.04563175952541787
策略6-终极组合,0.8689630610774794,27.68335597826087,33.335663882844564,0.009748463865334558,0.03479590331110538
策略5-加权融合30%,0.8688360631091245,27.708504585597826,33.35181404764155,0.00975759907230719,0.03466890534275047
GRU单模型,0.8606589140394784,28.58240807574728,34.3757224663101,0.010054322545163035,0.026491756273104294
策略9-Ridge残差,0.8538928583316286,27.626772312744112,35.20042939283393,0.009778332640733382,0.019725700565254578
策略3-双残差学习,0.8362563529698133,30.852857506793494,37.2644287895904,0.010933064311215875,0.002089195203439198
简单平均(基线),0.8341671577663741,31.59951808763588,37.50140258866061,0.011146174092980167,0.0
策略8-动态权重融合,0.8191182504589426,33.29736773889005,39.16603556432026,0.011744668989158906,-0.01504890730743147
LSTM单模型,0.7808080044399656,36.885512907608714,43.1146221365006,0.013041292431931115,-0.053359153326408504
策略1-LSTM残差学习,0.7521898915168117,37.25557595957881,45.842864613270265,0.013228548711674922,-0.08197726624956236
策略7-Stacking,-9.189651126898086,283.76326426630436,293.9624757797696,0.09925015891377183,-10.023818284664461
