strategy,r2,mae,rmse,mape,improvement_vs_baseline
策略9-Ridge残差,0.7058747462172259,38.754847573427625,49.943433566573496,0.013844560383046184,1.7408763418207318
策略2-GRU残差学习,0.4624736404601102,52.97763353430708,67.51684223062253,0.018387112523955224,1.497475236063616
策略4-残差剪裁,0.44941347641009244,53.911002250339685,68.33214087127793,0.018741425731164597,1.4844150720135985
策略8-动态权重融合,0.34905545761176693,59.844742682616705,74.29921649392081,0.020758710306444102,1.384057053215273
策略3-双残差学习,0.29135987112722195,63.06922129755435,77.52202522213882,0.021894301542339515,1.3263614667307277
策略1-LSTM残差学习,0.18626427721177685,68.65561311141305,83.07185910529428,0.023820697212156294,1.2212658728152828
策略5-加权融合30%,-0.29459530563023684,89.00669051460598,104.78020719166385,0.030850534994672475,0.7404062899732691
策略6-终极组合,-0.29725143743678806,89.07960152004075,104.88764131926982,0.03087951851994154,0.7377501581667179
GRU单模型,-0.7835227645404192,107.53624108355979,122.98483630808583,0.03731295690600995,0.25147883106308666
简单平均(基线),-1.035001595603506,116.24575513756794,131.36952087841806,0.04035875653718702,0.0
LSTM单模型,-1.3107689356715215,125.36142790421195,139.9879002006877,0.04355584578603714,-0.2757673400680156
策略7-Stacking,-9.164014723374503,282.92491826596466,293.59244904281815,0.0989319214704569,-8.129013127770998
