strategy,R²,MAE,RMSE,MAPE
策略8-GRU残差(Ridge),0.8897476742912519,24.845795039612867,30.577791756166903,0.008743021719885499
策略3-GRU残差(XGB),0.8718628553956144,26.88203761888587,32.964747986634066,0.009473305483655176
策略5-双残差(XGB),0.8508163508803345,29.798849354619573,35.56909799632819,0.010536719224567965
策略9-双残差(Ridge),0.8412266246854597,28.9554429493896,36.69450872652733,0.010291063300089718
策略4-加权平均Stacking,0.8300854702850964,31.659283712635872,37.96011311178227,0.011145694632141129
策略1-简单平均,0.8300838157715376,31.65969556725544,37.960297926374224,0.01114584892025374
策略6-动态权重融合,0.8237911467493338,32.37230581241418,38.65681788921015,0.011398903679319778
策略2-LSTM残差(XGB),0.8052306248980408,34.23876422384512,40.641766315127484,0.01213936283895896
GRU单模型,0.7996556553963121,34.407193656589676,41.219316185190756,0.012099132015639797
LSTM单模型,0.7797681456719994,36.99836319633153,43.21677018895965,0.013077823571271635
策略10-Ridge Stacking,0.724067313540333,40.957971224722684,48.37420197373656,0.014344183651240438
策略7-LSTM残差(Ridge),0.6349174488750602,43.65667978638395,55.64264641614998,0.015537807130729806
