strategy,base_model,r2,mae,rmse,mape,vs_baseline,vs_single_model
GRU-实验8-Ridge回归,GRU,0.9125523642297538,21.781931752390562,27.232422424173496,0.007690097593001127,0.0929682701978406,0.1572984429138351
LSTM-实验1-原始方法,LSTM,0.8519651292206177,28.78305027173914,35.43188512546904,0.01014731731763394,0.0323810351887045,0.0746772308741337
GRU-实验3-保守参数,GRU,0.8261247978938325,31.561149796195654,38.39998964241338,0.011112410932415797,0.006540703861919295,0.0708708765779138
GRU-实验5-残差剪裁,GRU,0.8257970014119494,31.60674571161685,38.43616749727934,0.011128422729651463,0.0062129073800362145,0.07054308009603072
GRU-实验7-最小特征,GRU,0.8253307505551553,31.604757557744566,38.48756940201728,0.011128141193128143,0.005746656523242022,0.07007682923923653
简单平均,Mixed,0.8195840940319132,32.4106838060462,39.11557705221955,0.01140131947349265,0.0,0.8195840940319132
LSTM-实验3-保守参数,LSTM,0.7946601417231666,34.84269382642664,41.730070845402274,0.01235449238987827,-0.024923952308746666,0.017372243376682528
LSTM-实验5-残差剪裁,LSTM,0.794436490545147,34.85620223335599,41.75279080967889,0.012359284690960561,-0.025147603486766257,0.017148592198662937
GRU-实验6-加权融合50%,GRU,0.7935784360636946,34.85459408967391,41.83983082358571,0.012269319653832407,-0.026005657968218632,0.03832451474777587
LSTM-实验6-加权融合50%,LSTM,0.7918718760505212,35.69487835427991,42.01241446732495,0.012636297280362559,-0.027712217981392007,0.014583977704037188
LSTM-实验7-最小特征,LSTM,0.7903408293050391,35.192484714673924,42.16667062596503,0.012479630057236048,-0.029243264726874107,0.013052930958555087
LSTM-实验2-简化特征,LSTM,0.7899518779558016,34.33235287873642,42.205757155385726,0.012090292277107168,-0.02963221607611166,0.012663979609317533
LSTM-实验9-终极组合,LSTM,0.7873947397539274,36.21295431385871,42.461877771496916,0.012811174189161487,-0.03218935427798586,0.010106841407443334
GRU-实验9-终极组合,GRU,0.7787677385397365,36.297915251358695,43.314819231141556,0.012776731125132626,-0.04081635549217677,0.023513817223817735
LSTM单模型,LSTM,0.777287898346484,37.258748726222834,43.45944505258971,0.013168773970952423,-0.042296195685429194,0.0
GRU-实验2-简化特征,GRU,0.7760809741905117,35.76562075407609,43.57704005217179,0.012584912333837418,-0.04350311984140154,0.020827052874592966
LSTM-实验4-早停机制,LSTM,0.7710514201758447,37.758136251698375,44.06373157614767,0.013333052299347331,-0.04853267385606852,-0.006236478170639326
GRU-实验1-原始方法,GRU,0.7625512005748618,36.71648479959239,44.874268929928704,0.012928633110595165,-0.057032893457051426,0.007297279258943079
GRU单模型,GRU,0.7552539213159187,38.499095618206525,45.558583612476696,0.013550166395250736,-0.0643301727159945,0.0
GRU-实验4-早停机制,GRU,0.7503039618020318,38.77203952955163,46.0169827881418,0.013652140302335913,-0.06928013222988139,-0.004949959513886881
LSTM-实验8-Ridge回归,LSTM,0.7317127758341323,38.348697281859984,47.699325182171336,0.013584834863648547,-0.08787131819778093,-0.04557512251235174
