实验名称,测试R²(均值),测试R²(标准差),测试R²(CI下界),测试R²(CI上界),测试MAE(均值),测试RMSE(均值),训练时间(秒),推理速度(ms/样本),模型参数量,特征数量,p值,是否显著
Baseline,0.7285293989939013,0.029564586838153377,0.6918201158951973,0.7652386820926054,0.03425061349252145,0.04110368679864449,14.755554008483887,4.364814343659774,22881,13,,否
Remove_TR,0.752115447149664,0.0965001052112469,0.6322947406859831,0.871936153613345,0.03233380918846325,0.03881877215180739,14.620370292663575,3.641189077626104,22641,12,0.6468312329572936,否
Remove_IR,0.5859523877012272,0.13917266782759963,0.4131466965257251,0.7587580788767292,0.04236122955917837,0.05004981685371981,12.348220586776733,2.7924359363058335,22641,12,0.09316517467634332,否
Remove_ER,0.8097542829016628,0.032615590707286875,0.7692566781402754,0.8502518876630503,0.028594825169465637,0.034345725740087346,12.24779314994812,2.712786094002102,22641,12,0.02363324032303972,是
Remove_ine,0.7864945068171268,0.0448676687579626,0.7307839378370328,0.8422050757972209,0.029666440444590388,0.036333356478041465,14.289620208740235,2.7052868967470913,22641,12,0.08738276055878587,否
Remove_FP.CFI,0.7123073817311545,0.06162041349982113,0.6357955327339972,0.7888192307283117,0.03529969242926151,0.04215961572579868,11.272175502777099,2.503799770189368,22641,12,0.5772277186827128,否
Remove_CFD,0.6841538782841659,0.09928616827163722,0.5608738176216729,0.8074339389466588,0.036826513632981936,0.043983994806583965,9.907785320281983,2.58315604666005,22641,12,0.3598247050028105,否
Remove_GPR,0.7411749118958114,0.061851573134079546,0.6643760403029575,0.8179737834886653,0.0332925758165164,0.03992474824939775,14.94133219718933,3.671718680340311,22641,12,0.7103000833977234,否
Remove_EPU,0.7618747411420713,0.055609331097602625,0.692826636753985,0.8309228455301576,0.0319379114478802,0.03833053683463252,15.369674777984619,3.1583271855893345,22641,12,0.3168471737751809,否
Only_TR,0.8085614335328056,0.06610640684675152,0.7264794881005833,0.890643378965028,0.02795069124120949,0.03420239315934067,17.715418910980226,3.062400403230087,21201,6,,否
Only_IR,0.7974064692558094,0.09021578943193649,0.685388771448642,0.9094241670629768,0.028103299721729858,0.0349569804845786,14.797485399246217,2.724741230840268,21201,6,,否
Only_ER,0.7810337218920735,0.07629697225804385,0.6862985182673089,0.8757689255168382,0.029840448452007645,0.036539584956319524,12.134166717529297,2.7330410998800523,21201,6,,否
Only_ine,0.7932440548437256,0.08028975629127202,0.6935511550322988,0.8929369546551524,0.029393690586961306,0.035459255020323,13.83031873703003,2.514802061993143,21201,6,,否
Only_FP.CFI,0.740545971460447,0.17455791040341168,0.523803698510852,0.957288244410042,0.032473741055726216,0.03877808304926654,11.51307692527771,2.659977622654127,21201,6,,否
Only_CFD,0.8551487839395093,0.024028089370199686,0.8253139704229098,0.8849835974561089,0.024405789100241,0.029980540702537695,13.91968755722046,3.138025325277577,21201,6,,否
Only_GPR,0.8023455630324982,0.055624715288778076,0.7332783566480878,0.8714127694169085,0.02839224470853894,0.03486190833488121,17.287201166152954,3.231820645539657,21201,6,,否
Only_EPU,0.8025458775944209,0.06485221674012358,0.7220212148645018,0.88307054032434,0.028176228617010923,0.03476321568925294,14.495230579376221,2.507880666981573,21201,6,,否
Arch_完整模型,0.7285293989939013,0.029564586838153377,0.6918201158951973,0.7652386820926054,0.03425061349252145,0.04110368679864449,14.755554008483887,4.364814343659774,22881,13,,否
Arch_无Dropout,0.7817806652046612,0.04835411817867848,0.7217410974973058,0.8418202329120166,0.030415338584085672,0.036715893521800366,10.300433588027953,2.799129278763481,22881,13,0.009635133729541567,是
Arch_无L2正则化,0.7285293989939013,0.029564586838153377,0.6918201158951973,0.7652386820926054,0.03425061349252145,0.04110368679864449,10.702689027786255,4.377996195917545,22881,13,,否
Arch_减少单元数(40),0.6424381893117627,0.19111372646388386,0.4051391555989956,0.8797372230245297,0.03874459501862907,0.046122051499909736,8.879082107543946,2.6220132993615186,6641,13,0.4020530110944635,否
Arch_增加单元数(120),0.7899128414695883,0.0318250188865029,0.7503968612760628,0.8294288216631138,0.030256782880484778,0.03610957551050877,9.2011323928833,2.4394729863042417,48721,13,0.015538926005214265,是
Arch_无正则化,0.7817806652046612,0.04835411817867848,0.7217410974973058,0.8418202329120166,0.030415338584085672,0.036715893521800366,10.753472328186035,3.203426236691682,22881,13,0.009635133729541567,是
Cumulative_Top1,0.7974064692558094,0.09021578943193649,0.685388771448642,0.9094241670629768,0.028103299721729858,0.0349569804845786,13.766149187088013,2.691299397012462,21201,6,,否
