date1,price1,date2,price2
14/1/2020,1811,14/1/2020,6023.1653
15/1/2020,1820,15/1/2020,5994.2457
16/1/2020,1887,16/1/2020,6011.687
17/1/2020,1893,17/1/2020,5973.3167
21/1/2020,1894,20/1/2020,6004.4446
22/1/2020,1886,21/1/2020,5912.4973
23/1/2020,1875,22/1/2020,5860.6841
3/2/2020,1911,23/1/2020,5582.9889
4/2/2020,1918,3/2/2020,5150.1655
5/2/2020,1904,4/2/2020,5340.5456
6/2/2020,1901,5/2/2020,5435.7203
7/2/2020,1906,6/2/2020,5639.518
10/2/2020,1903,7/2/2020,5681.1136
11/2/2020,1897,10/2/2020,5850.2893
12/2/2020,1895,11/2/2020,5818.9756
13/2/2020,1882,12/2/2020,5872.1984
14/2/2020,1877,13/2/2020,5849.514
18/2/2020,1876,14/2/2020,5970.8493
19/2/2020,1879,17/2/2020,6101.1303
20/2/2020,1875,18/2/2020,6060.6956
21/2/2020,1874,19/2/2020,6098.2699
24/2/2020,1876,20/2/2020,6177.9181
25/2/2020,1877,21/2/2020,6140.2391
26/2/2020,1878,24/2/2020,6150.765
27/2/2020,1881,25/2/2020,6197.3128
28/2/2020,1890,26/2/2020,6126.9343
2/3/2020,1896,27/2/2020,6204.7401
3/3/2020,1895,28/2/2020,5965.5882
4/3/2020,1938,2/3/2020,6160.8761
5/3/2020,1938,3/3/2020,6220.5563
6/3/2020,1900,4/3/2020,6324.2806
9/3/2020,1900,5/3/2020,6564.6921
10/3/2020,1900,6/3/2020,6497.0054
11/3/2020,1900,9/3/2020,6339.6653
12/3/2020,1900,10/3/2020,6371.0513
13/3/2020,1900,11/3/2020,6338.1939
16/3/2020,1952,12/3/2020,6128.1707
17/3/2020,1943,13/3/2020,6095.1441
18/3/2020,1938,16/3/2020,5834.2079
19/3/2020,1931,17/3/2020,5822.5607
20/3/2020,1938,18/3/2020,5872.9913
23/3/2020,1955,19/3/2020,5871.0902
24/3/2020,1953,20/3/2020,5941.2603
25/3/2020,1961,23/3/2020,5779.6708
26/3/2020,1965,24/3/2020,5972.8177
27/3/2020,1970,25/3/2020,6078.0648
30/3/2020,1991,26/3/2020,6111.8885
31/3/2020,1987,27/3/2020,6086.1766
1/4/2020,1986,30/3/2020,6121.0586
2/4/2020,1980,31/3/2020,6465.1608
3/4/2020,1978,1/4/2020,6347.3169
7/4/2020,1978,2/4/2020,6363.5663
8/4/2020,1982,3/4/2020,6435.2655
9/4/2020,1988,7/4/2020,6690.2022
10/4/2020,1984,8/4/2020,6551.129
13/4/2020,1989,9/4/2020,6584.5229
14/4/2020,1995,10/4/2020,6537.3156
15/4/2020,2016,13/4/2020,6470.7746
16/4/2020,2026,14/4/2020,6599.5889
17/4/2020,2018,15/4/2020,6498.8993
20/4/2020,2028,16/4/2020,6474.5321
21/4/2020,2015,17/4/2020,6505.5964
22/4/2020,2016,20/4/2020,6551.4717
23/4/2020,2029,21/4/2020,6508.8572
24/4/2020,2039,22/4/2020,6761.2519
27/4/2020,2053,23/4/2020,6762.2921
28/4/2020,2054,24/4/2020,6693.6592
29/4/2020,2051,27/4/2020,6749.5564
30/4/2020,2035,28/4/2020,6748.4394
6/5/2020,2040,29/4/2020,6612.9442
7/5/2020,2008,30/4/2020,6619.8165
8/5/2020,2007,6/5/2020,6656.2004
11/5/2020,2006,7/5/2020,6727.3104
12/5/2020,2014,8/5/2020,6754.1554
13/5/2020,2008,11/5/2020,6614.5839
14/5/2020,2000,12/5/2020,6630.8574
15/5/2020,2000,13/5/2020,6699.9408
18/5/2020,2000,14/5/2020,6530.3669
19/5/2020,2010,15/5/2020,6527.5755
20/5/2020,1999,18/5/2020,6651.257
21/5/2020,2008,19/5/2020,6627.4374
22/5/2020,1996,20/5/2020,6524.1984
25/5/2020,2003,21/5/2020,6415.2477
26/5/2020,2009,22/5/2020,6338.1961
27/5/2020,2015,25/5/2020,6438.6644
28/5/2020,2028,26/5/2020,6470.5453
29/5/2020,2046,27/5/2020,6419.9888
1/6/2020,2041,28/5/2020,6347.2312
2/6/2020,2040,29/5/2020,6438.6763
3/6/2020,2039,1/6/2020,6530.9044
4/6/2020,2035,2/6/2020,6553.6366
5/6/2020,2039,3/6/2020,6507.1399
8/6/2020,2038,4/6/2020,6559.356
10/6/2020,2054,5/6/2020,6448.9727
11/6/2020,2067,8/6/2020,6504.9017
12/6/2020,2066,9/6/2020,6515.0221
15/6/2020,2086,10/6/2020,6535.7415
16/6/2020,2087,11/6/2020,6370.0935
17/6/2020,2093,12/6/2020,6378.2041
18/6/2020,2112,15/6/2020,6486.564
19/6/2020,2103,16/6/2020,6528.6759
22/6/2020,2094,17/6/2020,6594.2773
23/6/2020,2090,18/6/2020,6644.425
24/6/2020,2086,19/6/2020,6729.5659
