date,Corn,ER,TR,IR,corn,时间,收盘价(元)
14/1/2020,389,6.8881,1.8593,2.518,389,2020-01-14,"6,023.1653"
15/1/2020,387.5,6.8905,1.8593,2.518,387.5,2020-01-15,"5,994.2457"
16/1/2020,375.5,6.8748,1.8593,2.518,375.5,2020-01-16,"6,011.6870"
17/1/2020,389.25,6.8655,1.8593,2.518,389.25,2020-01-17,"5,973.3167"
21/1/2020,387.5,6.9093,1.8593,2.518,387.5,2020-01-20,"6,004.4446"
22/1/2020,388.75,6.9087,1.8593,2.518,388.75,2020-01-21,"5,912.4973"
23/1/2020,393.75,6.9081,1.8593,2.518,393.75,2020-01-22,"5,860.6841"
24/1/2020,387.25,6.9075,1.8593,2.518,387.25,2020-01-23,"5,582.9889"
27/1/2020,380.5,6.9057,1.8593,2.518,380.5,2020-02-03,"5,150.1655"
28/1/2020,386.5,6.9051,1.8593,2.518,386.5,2020-02-04,"5,340.5456"
29/1/2020,384.25,6.9045,1.8593,2.518,384.25,2020-02-05,"5,435.7203"
30/1/2020,379.5,6.9039,1.8593,2.518,379.5,2020-02-06,"5,639.5180"
31/1/2020,381.25,6.9033,1.8593,2.518,381.25,2020-02-07,"5,681.1136"
3/2/2020,378.75,6.9021,1.8593,2.518,378.75,2020-02-10,"5,850.2893"
4/2/2020,382.25,6.9009,1.8593,2.518,382.25,2020-02-11,"5,818.9756"
5/2/2020,380.75,6.9003,1.8593,2.518,380.75,2020-02-12,"5,872.1984"
6/2/2020,379.25,6.8997,1.8593,2.518,379.25,2020-02-13,"5,849.5140"
7/2/2020,383.5,6.8991,1.8593,2.518,383.5,2020-02-14,"5,970.8493"
10/2/2020,381.75,6.8973,1.8593,2.518,381.75,2020-02-17,"6,101.1303"
11/2/2020,379.75,6.8967,1.8593,2.518,379.75,2020-02-18,"6,060.6956"
12/2/2020,383,6.8961,1.8593,2.518,383,2020-02-19,"6,098.2699"
13/2/2020,379.5,6.8955,1.8593,2.518,379.5,2020-02-20,"6,177.9181"
14/2/2020,377.75,6.8949,1.8593,2.518,377.75,2020-02-21,"6,140.2391"
18/2/2020,383,6.8925,1.8593,2.518,383,2020-02-24,"6,150.7650"
19/2/2020,380.5,6.8919,1.8593,2.518,380.5,2020-02-25,"6,197.3128"
20/2/2020,378.5,6.8913,1.8593,2.518,378.5,2020-02-26,"6,126.9343"
21/2/2020,377,6.8907,1.8593,2.518,377,2020-02-27,"6,204.7401"
24/2/2020,372.25,6.8889,1.8593,2.518,372.25,2020-02-28,"5,965.5882"
25/2/2020,372.5,6.8883,1.8593,2.518,372.5,2020-03-02,"6,160.8761"
26/2/2020,370.5,6.8877,1.8593,2.518,370.5,2020-03-03,"6,220.5563"
27/2/2020,364.5,6.8871,1.8593,2.518,364.5,2020-03-04,"6,324.2806"
28/2/2020,366.5,6.8865,1.8593,2.518,366.5,2020-03-05,"6,564.6921"
2/3/2020,374.75,6.8847,1.8593,2.518,374.75,2020-03-06,"6,497.0054"
3/3/2020,381.75,6.8841,1.8593,2.518,381.75,2020-03-09,"6,339.6653"
4/3/2020,387,6.8835,1.8593,2.518,387,2020-03-10,"6,371.0513"
5/3/2020,384.5,6.8829,1.8593,2.518,384.5,2020-03-11,"6,338.1939"
