date,Corn,TR,IR,ER,CSI,EPU,GPR,NHAI.SL,NHBM.SL,CFD,corn
14/1/2020,1811,1.8593,2.518,6.8954,6023.17,109.27,64.06,778.676,2080.4539,389,1811
15/1/2020,1820,1.8593,2.654,6.8845,5994.25,98.77,68.86,778.677,2107.0562,387.5,1820
16/1/2020,1887,1.8593,2.609,6.8807,6011.69,88.05,87.21,779.134,2103.9265,375.5,1887
17/1/2020,1893,1.9609,2.522,6.8878,5973.32,77.76,75.26,781.664,2098.4496,389.25,1893
21/1/2020,1894,1.9609,1.885,6.8606,5912.5,87.56,229.83,772.587,2120.3573,388.75,1894
22/1/2020,1886,1.9609,1.534,6.8853,5860.68,77.19,149.17,772.025,2095.3199,393.75,1886
23/1/2020,1875,1.9609,2.444,6.8876,5582.99,70.67,64.96,767.968,2065.5879,387.25,1875
3/2/2020,1911,1.9609,2.504,6.9249,5150.17,124.15,195.14,734.205,2018.6428,382.25,1911
4/2/2020,1918,1.9609,2.273,6.9779,5340.55,111.96,200.2,746.479,2072.6297,380.75,1918
5/2/2020,1904,1.9609,2.051,6.9823,5435.72,84.94,218.39,748.74,2061.6758,379.25,1904
6/2/2020,1901,1.9609,1.819,6.9985,5639.52,81.75,106.49,755.39,2063.2407,383.5,1901
7/2/2020,1906,1.5731,1.793,6.9768,5681.11,130.27,196.03,756.761,2060.8934,381.75,1906
10/2/2020,1903,1.5731,1.652,6.9863,5850.29,111.39,211.67,757.282,2078.1067,379.75,1903
11/2/2020,1897,1.5731,1.56,6.9897,5818.98,152.71,153.36,754.789,2078.8891,383,1897
12/2/2020,1895,1.5731,1.521,6.9718,5872.2,79.26,284.8,751.694,2066.3704,379.5,1895
13/2/2020,1882,1.5731,1.443,6.9785,5849.51,82.23,136.4,752.231,2100.0144,377.75,1882
14/2/2020,1877,1.5155,1.256,6.9843,5970.85,71.98,198.96,747.007,2087.4957,383,1877
18/2/2020,1876,1.5155,1.503,6.9826,6060.7,77.38,201.1,751.404,2078.1067,380.5,1876
19/2/2020,1879,1.5155,1.626,7.0012,6098.27,56.47,117.98,752.873,2081.2363,378.5,1879
20/2/2020,1875,1.5155,1.403,7.0026,6177.92,103.7,39.35,758.75,2084.366,377,1875
21/2/2020,1874,1.6562,1.355,7.021,6140.24,106.59,172.16,760.046,2082.0188,372.25,1874
24/2/2020,1876,1.6562,1.533,7.0246,6150.77,88.73,214.02,754.738,2049.1571,372.5,1876
25/2/2020,1877,1.6562,1.602,7.0232,6197.31,147.84,103.19,754.653,2062.4583,370.5,1877
26/2/2020,1878,1.6562,1.499,7.0126,6126.93,97.49,158.41,748.905,2064.0231,364.5,1878
27/2/2020,1881,1.6562,1.347,7.0215,6204.74,106.55,141.26,742.857,2070.2825,366.5,1881
28/2/2020,1890,1.61,1.628,7.0066,5965.59,172.45,54.06,727.091,2046.8099,374.75,1890
