number,value,datetime_start,datetime_complete,duration,params_dropout,params_learning_rate,params_recurrent_dropout,params_units,user_attrs_overfitting_gap,user_attrs_train_r2,user_attrs_val_r2,state
0,0.8898593586144488,2025-10-19 16:47:58.337676,2025-10-19 16:48:07.698690,0 days 00:00:09.361014,0.39601987860616195,0.0011680966724485012,0.0789945045555404,60,0.08935110107802058,0.9881455698002714,0.8987944687222508,COMPLETE
1,0.7998368840821978,2025-10-19 16:48:07.698690,2025-10-19 16:48:15.393550,0 days 00:00:07.694860,0.46749880323995396,0.00011663874960324432,0.27021445623510365,50,0.16969497083462082,0.9865013520002807,0.8168063811656598,COMPLETE
2,0.8975880755103796,2025-10-19 16:48:15.394548,2025-10-19 16:48:26.446283,0 days 00:00:11.051735,0.1548837285424306,0.0016299202998797796,0.08514850588738375,150,0.08628627460248262,0.9925029775731105,0.9062167029706278,COMPLETE
3,0.8926346921145393,2025-10-19 16:48:26.447281,2025-10-19 16:48:38.033665,0 days 00:00:11.586384,0.44109421644371405,0.0011026864919408802,0.0006777700555540611,150,0.0919695935532806,0.9938012450231479,0.9018316514698673,COMPLETE
4,0.8820953881042525,2025-10-19 16:48:38.033665,2025-10-19 16:48:45.048901,0 days 00:00:07.015236,0.1693668618216188,0.0012371227385804568,0.10406170481568992,150,0.06297160528091361,0.9513641539132575,0.8883925486323438,COMPLETE
5,0.8163611631677763,2025-10-19 16:48:45.049901,2025-10-19 16:48:54.046962,0 days 00:00:08.997061,0.23120835637421655,0.009270072642155736,0.043675346244622146,120,0.14294541801281602,0.973601122981874,0.8306557049690579,COMPLETE
6,0.8377813317875337,2025-10-19 16:48:54.047963,2025-10-19 16:49:00.244266,0 days 00:00:06.196303,0.13882239766806598,0.000222471965308809,0.038027022090613996,110,0.06880171146623826,0.9134632144003958,0.8446615029341575,COMPLETE
7,0.8426054671783467,2025-10-19 16:49:00.244621,2025-10-19 16:49:08.554856,0 days 00:00:08.310235,0.19058210799751985,0.005754832299970807,0.21644529826059533,120,0.11166493516224885,0.9654368958568205,0.8537719606945716,COMPLETE
8,0.8368209992770063,2025-10-19 16:49:08.555852,2025-10-19 16:49:40.829995,0 days 00:00:32.274143,0.28317414151362386,0.00023393435778799475,0.13935655629008933,130,0.13934678572366155,0.990102463573034,0.8507556778493724,COMPLETE
9,0.8863109243144841,2025-10-19 16:49:40.829995,2025-10-19 16:49:50.006506,0 days 00:00:09.176511,0.30888544608682456,0.0012813518177587269,0.2985176195405378,150,0.09709519294809654,0.9931156365573903,0.8960204436092938,COMPLETE
10,0.8535857215809755,2025-10-19 16:49:50.006506,2025-10-19 16:49:57.716670,0 days 00:00:07.710164,0.11678804136318774,0.0028882560141760528,0.20574745941632544,50,0.12282247669294277,0.9886904459432125,0.8658679692502698,COMPLETE
11,0.9083915958350929,2025-10-19 16:49:57.717713,2025-10-19 16:50:16.335238,0 days 00:00:18.617525,0.45980977362462727,0.0003915188890718533,0.08121102371786014,140,0.07517230640634986,0.9910811328820778,0.9159088264757279,COMPLETE
12,0.861658061460894,2025-10-19 16:50:16.336276,2025-10-19 16:50:29.529089,0 days 00:00:13.192813,0.443786224775354,0.00020985958311991887,0.08278911401665896,100,0.11891377855143137,0.9924632178674685,0.8735494393160371,COMPLETE
13,0.9088165989739762,2025-10-19 16:50:29.529089,2025-10-19 16:51:01.371825,0 days 00:00:31.842736,0.41579437412891573,0.0002070950616082725,0.066600650933163,150,0.07777051238044352,0.9943641625924641,0.9165936502120205,COMPLETE
14,0.9010160716324863,2025-10-19 16:51:01.372864,2025-10-19 16:51:22.743835,0 days 00:00:21.370971,0.4654398042502154,0.0005118637988790275,0.15167821661317216,130,0.08489225437065773,0.9943975514402098,0.9095052970695521,COMPLETE
15,0.8945765963338815,2025-10-19 16:51:22.743835,2025-10-19 16:51:54.547649,0 days 00:00:31.803814,0.41883982157476457,0.00011100767858814042,0.09828935625366284,150,0.09070951340008371,0.9943570610739736,0.9036475476738899,COMPLETE
16,0.8673990540695111,2025-10-19 16:51:54.548644,2025-10-19 16:52:10.950787,0 days 00:00:16.402143,0.3311855312559484,0.000142895314312544,0.0002529100833704445,130,0.1132860389812983,0.9920136969489393,0.878727657967641,COMPLETE
17,0.889633611649261,2025-10-19 16:52:10.951828,2025-10-19 16:52:24.496278,0 days 00:00:13.544450,0.374485575235281,0.001296188069952778,0.1698060191267616,150,0.09523135903913937,0.9943881065923144,0.899156747553175,COMPLETE
18,0.9017795645219845,2025-10-19 16:52:24.497590,2025-10-19 16:52:45.633462,0 days 00:00:21.135872,0.4817945259177425,0.0005981121256645546,0.05756397705296761,120,0.08366448541962546,0.9938104984835725,0.910146013063947,COMPLETE
19,0.8496317628294744,2025-10-19 16:52:45.633689,2025-10-19 16:52:54.167789,0 days 00:00:08.534100,0.3042986165205504,0.00010171286180939311,0.27066432658155765,110,0.06564196406624201,0.9218379233023406,0.8561959592360986,COMPLETE
