number,value,datetime_start,datetime_complete,duration,params_dropout,params_l2_reg,params_learning_rate,params_recurrent_dropout,params_units,user_attrs_final_epoch,user_attrs_overfitting_gap,user_attrs_train_r2,user_attrs_val_r2,state
0,0.8484003973839861,2025-10-19 16:40:30.103486,2025-10-19 16:41:02.798668,0 days 00:00:32.695182,0.39601987860616195,0.003992254141923959,0.0001069423996714696,0.0789945045555404,60,200.0,0.12970673551378853,0.9910778064491534,0.8613710709353649,COMPLETE
1,0.8585845181349454,2025-10-19 16:41:02.800974,2025-10-19 16:41:36.674506,0 days 00:00:33.873532,0.4602859416468049,0.07427591470449847,0.00018811292773518806,0.010026428287903377,150,172.0,0.10229300693986432,0.9711068257687961,0.8688138188289318,COMPLETE
2,0.8393121143600633,2025-10-19 16:41:36.675503,2025-10-19 16:42:08.430214,0 days 00:00:31.754711,0.3424332737435316,0.03615818507228536,0.00010104584662529939,0.28326754081591266,80,200.0,0.13681208607864437,0.9898054090465721,0.8529933229679277,COMPLETE
3,0.8627614568716722,2025-10-19 16:42:08.431212,2025-10-19 16:42:38.837729,0 days 00:00:30.406517,0.3208150533058266,0.0201559124000495,0.00020962038111649407,0.14561322409881292,100,181.0,0.11179787233451088,0.9857391164396341,0.8739412441051232,COMPLETE
4,0.013034971430897713,2025-10-19 16:42:38.837729,2025-10-19 16:42:45.203863,0 days 00:00:06.366134,0.2625655535283286,0.0023509548938770003,0.0006409628885513286,0.16887099074184245,110,,,,,PRUNED
5,0.8536924711193526,2025-10-19 16:42:45.203863,2025-10-19 16:42:56.817216,0 days 00:00:11.613353,0.45514590641701436,0.02981204999913389,0.0005998283997569762,0.17196391983623702,110,55.0,0.09393651396529223,0.9570226364811741,0.8630861225158819,COMPLETE
6,0.8388207686504965,2025-10-19 16:42:56.818428,2025-10-19 16:43:04.781192,0 days 00:00:07.962764,0.2822478896399674,0.02566460447511855,0.0017133604005309282,0.03656167677988771,100,35.0,0.09868362865729041,0.9473727601735159,0.8486891315162255,COMPLETE
7,0.8452899563095007,2025-10-19 16:43:04.782230,2025-10-19 16:43:23.063011,0 days 00:00:18.280781,0.17139088892137364,0.022287818274596298,0.00024317321865967084,0.13530750832020566,100,109.0,0.13169187690185313,0.9901510209015391,0.8584591439996859,COMPLETE
8,0.019362593069672585,2025-10-19 16:43:23.064009,2025-10-19 16:43:29.170200,0 days 00:00:06.106191,0.49524145337244496,0.0003184819002523972,0.002234268876176226,0.10467092119088406,90,,,,,PRUNED
9,0.878580451127819,2025-10-19 16:43:29.171198,2025-10-19 16:44:13.588316,0 days 00:00:44.417118,0.2462968579989427,0.0006181065539453701,0.0002295600141013699,0.040227669708937194,150,178.0,0.10123238813429813,0.989936078075547,0.8887036899412488,COMPLETE
10,0.014802200719714165,2025-10-19 16:44:13.589856,2025-10-19 16:44:20.569371,0 days 00:00:06.979515,0.12919685674839043,0.0008962264908955995,0.0005251054461602799,0.07546549333496272,140,,,,,PRUNED
11,0.8550224325325746,2025-10-19 16:44:20.570368,2025-10-19 16:44:45.012651,0 days 00:00:24.442283,0.4146768372576345,0.0007995730746382054,0.0007748745600967643,0.042289824597488375,150,82.0,0.11688179687715217,0.9835924090974419,0.8667106122202898,COMPLETE
12,0.7598216801982705,2025-10-19 16:44:45.014658,2025-10-19 16:45:29.650264,0 days 00:00:44.635606,0.20813057462047424,0.009829107853453416,0.0001588261087941369,0.021604541184974513,150,200.0,0.2049482943879285,0.9852648040249918,0.7803165096370633,COMPLETE
13,0.014010018669068813,2025-10-19 16:45:29.652259,2025-10-19 16:45:36.852058,0 days 00:00:07.199799,0.19581889919067177,0.0002503708252581935,0.00021594573442428367,0.008592642815524035,120,,,,,PRUNED
14,0.8307233806402208,2025-10-19 16:45:36.852058,2025-10-19 16:46:07.259391,0 days 00:00:30.407333,0.266946875171713,0.06265635193061256,0.0005231612833367307,0.1875039275392794,150,128.0,0.1404389751934204,0.9852062533529832,0.8447672781595628,COMPLETE
15,0.8562009201728892,2025-10-19 16:46:07.261738,2025-10-19 16:46:32.475872,0 days 00:00:25.214134,0.36975529550039793,0.08260084851461968,0.0004426089775140411,0.17346667102265395,50,146.0,0.1017806725235133,0.9681596599487539,0.8663789874252406,COMPLETE
16,0.7647115494973913,2025-10-19 16:46:32.477171,2025-10-19 16:47:09.844628,0 days 00:00:37.367457,0.3266176671389256,0.00090815239154956,0.00010668379934568229,0.12543410718314246,130,200.0,0.20391388489147944,0.9890168228780186,0.7851029379865392,COMPLETE
17,0.7235034858890658,2025-10-19 16:47:09.845625,2025-10-19 16:47:42.049213,0 days 00:00:32.203588,0.3450460803824788,0.0852874739026655,0.00018240343760930676,0.041886691930285366,100,200.0,0.23558534906703188,0.9826473698628009,0.747062020795769,COMPLETE
18,0.021620022132992744,2025-10-19 16:47:42.050210,2025-10-19 16:47:48.655304,0 days 00:00:06.605094,0.4118032478353484,0.0004556094907174225,0.0001596134903353137,0.2385956078492258,90,,,,,PRUNED
19,0.03054703213274479,2025-10-19 16:47:48.656580,2025-10-19 16:47:56.986705,0 days 00:00:08.330125,0.1893862539627844,0.0001389433576429936,0.0027535093235037467,0.09714134948861407,150,,,,,PRUNED
