number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mean_cv_score,user_attrs_std_cv_score,state
0,-2.8138347943576885,2025-10-19 16:52:54.183387,2025-10-19 16:52:57.495767,0 days 00:00:03.312380,0.9593735040499425,0.03020642948398713,3,6,88,0.5036682354798627,0.0013604597909008316,0.5072874812427098,-2.5752352099213347,4.771991688727074,COMPLETE
1,-11.636369312449652,2025-10-19 16:52:57.495767,2025-10-19 16:52:59.522797,0 days 00:00:02.027030,0.9263677705546425,0.0018811292773518791,3,7,290,0.0010157286454806997,0.12159174995088842,0.972112568026521,-10.77813210828007,17.164744083391618,COMPLETE
2,-3.4364101657185837,2025-10-19 16:52:59.522797,2025-10-19 16:53:05.609434,0 days 00:00:06.086637,0.510404898976033,0.00934877757724313,7,2,188,0.0025446645234130493,0.0029180455685606952,0.8822802251694394,-3.138468929824623,5.958824717879208,COMPLETE
3,-2.8037429490422,2025-10-19 16:53:05.609434,2025-10-19 16:53:05.932542,0 days 00:00:00.323108,0.8034501160700516,0.030495820789427835,2,5,66,0.10832337758689968,0.005254457837514967,0.6231335878362644,-2.5495807038411344,5.08324490402131,COMPLETE
4,-10.750218883267882,2025-10-19 16:53:05.932542,2025-10-19 16:53:06.349558,0 days 00:00:00.417016,0.7239576479967795,0.005488386004267288,2,5,100,0.03825148128056685,0.14120120758899662,0.5453882419987655,-9.978181245390573,15.440752757546196,COMPLETE
5,-1.2176080606854227,2025-10-19 16:53:06.349852,2025-10-19 16:53:06.986954,0 days 00:00:00.637102,0.6035986941305926,0.03480788257888811,3,5,109,0.047776377343016936,0.004693892544499579,0.7165617619191191,-1.0898790891110843,2.55457943148677,COMPLETE
6,-1.8666610064698552,2025-10-19 16:53:06.987952,2025-10-19 16:53:07.626248,0 days 00:00:00.638296,0.6118046464961102,0.014272953757407173,2,1,181,0.04394052909110871,0.006931755045315987,0.8734927440672746,-1.6827916541604473,3.6773870461881573,COMPLETE
7,-1.6351120842831657,2025-10-19 16:53:07.627245,2025-10-19 16:53:08.905423,0 days 00:00:01.278178,0.5226582896961345,0.019046197826355124,4,5,162,0.007996045918258476,0.010395167980509108,0.5513998352374706,-1.475710551171837,3.1880306622265735,COMPLETE
8,-1.5539709524887884,2025-10-19 16:53:08.905423,2025-10-19 16:53:09.968423,0 days 00:00:01.063000,0.712134842059304,0.06488708596543784,4,6,104,0.015227674770126508,0.011504515398775457,0.8753413263242174,-1.394479835097632,3.1898223478231302,COMPLETE
9,-1.1123473676240945,2025-10-19 16:53:09.969245,2025-10-19 16:53:10.996087,0 days 00:00:01.026842,0.7083156395264648,0.0487307213710181,5,10,91,0.02939013756116536,0.010506850510122958,0.5784746899524377,-0.9925246494294987,2.396454363891916,COMPLETE
