date,price1,price2
14/1/2020,1811,6023.1653
15/1/2020,1820,5994.2457
16/1/2020,1887,6011.687
17/1/2020,1893,5973.3167
20/1/2020,,6004.4446
21/1/2020,1894,5912.4973
22/1/2020,1886,5860.6841
23/1/2020,1875,5582.9889
3/2/2020,1911,5150.1655
4/2/2020,1918,5340.5456
5/2/2020,1904,5435.7203
6/2/2020,1901,5639.518
7/2/2020,1906,5681.1136
10/2/2020,1903,5850.2893
11/2/2020,1897,5818.9756
12/2/2020,1895,5872.1984
13/2/2020,1882,5849.514
14/2/2020,1877,5970.8493
17/2/2020,,6101.1303
18/2/2020,1876,6060.6956
19/2/2020,1879,6098.2699
20/2/2020,1875,6177.9181
21/2/2020,1874,6140.2391
24/2/2020,1876,6150.765
25/2/2020,1877,6197.3128
26/2/2020,1878,6126.9343
27/2/2020,1881,6204.7401
28/2/2020,1890,5965.5882
2/3/2020,1896,6160.8761
3/3/2020,1895,6220.5563
4/3/2020,1938,6324.2806
5/3/2020,1938,6564.6921
6/3/2020,1900,6497.0054
9/3/2020,1900,6339.6653
10/3/2020,1900,6371.0513
11/3/2020,1900,6338.1939
12/3/2020,1900,6128.1707
13/3/2020,1900,6095.1441
16/3/2020,1952,5834.2079
17/3/2020,1943,5822.5607
18/3/2020,1938,5872.9913
19/3/2020,1931,5871.0902
20/3/2020,1938,5941.2603
23/3/2020,1955,5779.6708
24/3/2020,1953,5972.8177
25/3/2020,1961,6078.0648
26/3/2020,1965,6111.8885
27/3/2020,1970,6086.1766
30/3/2020,1991,6121.0586
31/3/2020,1987,6465.1608
1/4/2020,1986,6347.3169
2/4/2020,1980,6363.5663
3/4/2020,1978,6435.2655
7/4/2020,1978,6690.2022
8/4/2020,1982,6551.129
9/4/2020,1988,6584.5229
10/4/2020,1984,6537.3156
13/4/2020,1989,6470.7746
14/4/2020,1995,6599.5889
15/4/2020,2016,6498.8993
16/4/2020,2026,6474.5321
17/4/2020,2018,6505.5964
20/4/2020,2028,6551.4717
21/4/2020,2015,6508.8572
22/4/2020,2016,6761.2519
23/4/2020,2029,6762.2921
