date,price1,price2
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
2020-01-14,,
2020-01-15,,
2020-01-16,,
2020-01-17,,
2020-01-20,,
2020-01-21,,
2020-01-22,,
2020-01-23,,
2020-02-03,,
2020-02-04,,
2020-02-05,,
2020-02-06,,
2020-02-07,,
2020-02-10,,
2020-02-11,,
2020-02-12,,
2020-02-13,,
2020-02-14,,
2020-02-17,,
2020-02-18,,
2020-02-19,,
2020-02-20,,
2020-02-21,,
2020-02-24,,
2020-02-25,,
2020-02-26,,
2020-02-27,,
2020-02-28,,
2020-03-02,,
2020-03-03,,
2020-03-04,,
2020-03-05,,-2.87020506595809
2020-03-06,,
2020-03-09,,
2020-03-10,,
2020-03-11,,
2020-03-12,,
2020-03-13,,
2020-03-16,,
2020-03-17,,
2020-03-18,,
2020-03-19,,
2020-03-20,,
2020-03-23,,
2020-03-24,,
2020-03-25,,
2020-03-26,,
2020-03-27,,
2020-03-30,,
2020-03-31,,
2020-04-01,,
2020-04-02,,
2020-04-03,,
2020-04-07,,-1.4366858424247053
2020-04-08,,-3.293469115928318
2020-04-09,,-2.4616997347594567
2020-04-10,,-4.062767128962573
2020-04-13,,
2020-04-14,,-2.234739540422322
2020-04-15,,
2020-04-16,,
2020-04-17,,
2020-04-20,,-3.280242797753615
2020-04-21,,
2020-04-22,,-1.0782469151126055
2020-04-23,,-1.0738464128393022
2020-04-24,,-1.4159274692821873
2020-04-27,,-1.1291046380667458
2020-04-28,,-1.1340999887761551
2020-04-29,,-2.069231840028666
2020-04-30,,-1.9936685222695765
2020-05-06,,-1.6677427690902422
2020-05-07,,-1.2336194708021964
2020-05-08,,-1.108796290809557
2020-05-11,,-2.050677321194868
2020-05-12,,-1.8830889176512744
2020-05-13,,-1.379276834941598
2020-05-14,,-4.936590069650481
2020-05-15,,-5.759427264026807
2020-05-18,,-1.7062657750452972
2020-05-19,,-1.916053251584253
2020-05-20,,
2020-05-21,,
2020-05-22,,
2020-05-25,,
2020-05-26,,
2020-05-27,,
2020-05-28,,
2020-05-29,,
2020-06-01,,-4.834043993122666
2020-06-02,,-3.200505056207068
2020-06-03,,
2020-06-04,,-3.0161210410890975
2020-06-05,,
2020-06-08,,
2020-06-09,,
2020-06-10,,-4.204316811918891
2020-06-11,,
2020-06-12,,
2020-06-15,,
2020-06-16,,-5.351706170965841
2020-06-17,,-2.3090165220017758
2020-06-18,,-1.7620737786245124
2020-06-19,,-1.2225111806498636
2020-06-22,,-0.8893000380241048
2020-06-23,,-0.9951008232960614
2020-06-24,,-0.9915023212759336
2020-06-29,,-0.6899966997727335
2020-06-30,,-0.3737653799612473
2020-07-01,,-0.13411923723364547
2020-07-02,,-0.1627927544634875
2020-07-03,,-0.15647545404168905
2020-07-06,,0.22354893360903832
2020-07-07,,0.26656444467078816
2020-07-08,,0.3220484382347028
2020-07-09,,0.5386700868910813
2020-07-10,,0.46152281448448884
2020-07-13,,0.7631571294210665
2020-07-14,,0.7600239380243102
2020-07-15,,0.7600893636593948
2020-07-16,-4.048734953878692,0.3641125127460227
2020-07-17,-3.724872429045071,0.538073190409311
2020-07-20,-2.199587252380346,0.667460847717814
